tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
3,,[],False,19,A Strange Loop at @phnyc was just so so beautiful and hilarious and heartbreaking. I’m truly in awe and inspired. @TheLivingMJ has written something incredibly special. And...oh...did you not know about Miss @larryowenslive ??? Well get READY to KNOW!!! Congrats to all involved!,@AaronJackson85
123,9,[],False,1190,"Rampion is another name for the Rapunzel flower, so the lyrics “ripping up the rampion, my champion, my favorite” sung by Rapunzel’s witch in ‘Into the Woods’ are in fact brilliant, respect the audience’s intelligence and also drive narrative and I don’t know why I’m writing this",@AaronJackson85
2,,[],False,11,"SAT 7/13: A Gay Show For All People Summer Spectacular! 
@AaronJackson85 & Josh Sharp host a gay show for all people filled with songs and goofs from special guests:
~@ColeEscola 
~@aparnapkin 
~@solomongeorgio 
~@waxmittert 
~@jestom, and
~@nwalks!
:",@BellHouseNY
12,,[],False,233,"All of us share the earth with crocodiles, which are literal fucking dinosaurs, and we just walk around buying eggs and light bulbs. Wake up humanity we are at WAR here!!!",@AaronJackson85
15352,409,[],False,57253,why are women’s bodies more controlled than guns? which ones are the actual threat to life?,@aparnapkin
3,,[],False,70,"“Come closer,” she whispered, covered in blood.
“I’m good,” I replied, cuz I could easily hear her and also the blood was gross.
“The prophecy,” she croaked, “can be undone.” 
And was like, “Plz don’t be dramatic,” but then she died and I was like: omg I’m such a bi$h sometimes.",@AaronJackson85
0,,[],False,36,Killing Eve is rly good ,@AaronJackson85
0,,[],False,67,My hot take set my whole building aflame and now all the neighbors + the New York Fire Department are RLLY mad @ me ,@AaronJackson85
3,,['#FakeTheNation'],https://pbs.twimg.com/media/D6J0OcmXoAE_3Ut.jpg,12,". @dtaberski and @AaronJackson85 join @NeginFarsad to discuss the cesspool of White House, Trump’s billion dollar loss, and the continuously expanding 2020 race on a brand new #FakeTheNation! 

Listen here: http://bit.ly/2LAKifN ",@earwolf
4,,[],False,117,I grew out my hair so I would always have floss ,@AaronJackson85
1775,66,[],False,17267,"when someone drinks decaf coffee? its like, ok, maybe just have a cup of water u stupid bitch",@poregan
0,,[],False,16,@GeneralMills @KelloggsUS WE ARE WATCHING WE DEMAND ACTION!!!,@AaronJackson85
2,,[],False,99,There are no cis-women cereal mascot characters. I’m outraged!!!Join me in protest this afternoon as I empty thousands of boxes of misogynist LIES into the Hudson.,@AaronJackson85
7,,[],False,14,"Brigade Meets Broadway
Monday 4/22 7:30 @ucbtny 
Songs & stories: @alanhgreen
Hosts: @AaronJackson85 and me
Keys: @ericgersen
Improv: @zachcherrygmail @msalicenutting @mikekelton @TheCarolineMart @garyyesgary Josh Sharp @bethslack @charity_corin @bowenyang",@MichaelHartney
0,,[],False,30,I staunchly support unions and am in no way a union buster except for ride shares bc cabs are like 7 dollars more expensive and I haaaate tipping so unionless ride shares are my guilty capitalist-pig pleasure lol gotta go catch my Uber(XL)!!!,@AaronJackson85
12,,[],False,231,"My beauty secret? Plenty of sleep, a healthy diet, a fortifying conditioner, and the soul of this small girl which I keep trapped in a handheld ivory mirror. How do you stay looking young and fresh? Comment below!",@AaronJackson85
0,,[],False,8,Incredible,@AaronJackson85
1,,[],False,131,"Gays complain that Hell’s Kitchen bars are terrible but 9th Avenue Saloon continues to SLAP. Always FREE popcorn, a bookshelf full of FREE socialist literature, and right now VODKA IS ALSO FREE. Open your damn EYES!!!!",@AaronJackson85
14,,[],False,258,"Whenever people are like “it’s 2019, get with it,” I’m always like “no YOU get with it bc it’s actually 2032 and has been for years.”",@AaronJackson85
