tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
73,,[],False,285,"""Do you like to swim?"" I ask a beautiful woman awkwardly as I walk into the ocean, never to be seen again.",@AnOrangeSNES
6730,104,[],https://pbs.twimg.com/media/B-qacGsW8AEhwKW.jpg,12600,This could be bus but you plane,@TheToddWilliams
0,,[],False,2,Fixing typos is my passion,@AnOrangeSNES
6,,[],False,20,"""Mom what do you mean my Twitter friends aren't real?!?"" I yell at an old mop labeled mother. The wasteland was a rough place for my sanity.",@AnOrangeSNES
6,,[],https://pbs.twimg.com/media/D9wYyQxUYAAZ8CJ.jpg,41,When I've had the hiccups for five minutes:,@seannameeshelle
186,,[],False,426,"ME: *Hugging Mother Nature* Sorry about destroying you
MOTHER NATURE: Lol I'll be fine, you're the ones that will die
ME: Oh yeah",@AnOrangeSNES
315,30,[],False,2581,"[First date at an aquarium]

Me: if I opened a seafood restaurant I would serve a sharkuterie board

Him: 

Me: SHARK-uterie

Him: uhh

Me: *under breath* ᵗʰᶦˢ ᵈᵃᵗᵉ ᶦˢ ᶠˡᵒᵘⁿᵈᵉʳᶦⁿᵍ",@Buffalojilll
1027,29,[],False,2587,"Before my surgery, the anesthetist offered to use knockout gas or whack me over the head with a canoe paddle. It was an ether/oar situation.",@ABurgerADay
34,,[],https://pbs.twimg.com/media/D9uQaCNWsAI-iiv.jpg,255,well my Xmas shopping is done,@DitzMcGeee
16,,[],False,81,You can’t have success without first having the succ,@thepoleninja
0,,[],https://pbs.twimg.com/media/D9v_uVyWkAEnqOj.jpg,1,Nice nice,@AnOrangeSNES
7629,65,[],False,15042,When you die your voice gets added to the Big Bang Theory laugh track.,@Laser_Cat
0,,[],False,2,If you pay a small fee this tweet might turn into a million dollars (00.01%) or a pile of garbage (99.99%),@AnOrangeSNES
61,,[],False,141,A jury of your peers is a completely misleading term since it's nearly impossible to find a dozen local kazoo enthusiasts who also enjoy stabbing.,@IfIwassomething
3,,[],False,9,"Sorry that I misinterpreted what you said 

It's just that I hate you and always think the worst",@AnOrangeSNES
680,4,[],https://pbs.twimg.com/media/D9q8l-sX4AMtOvP.jpg,3326,"me: I have simple, small dreams. to have a dog and a garden. to have my books and time to read them. perhaps the occasional vacation. maybe even healthcare. 

the economy:",@molly7anne
114,,[],https://pbs.twimg.com/media/D9t6Gj5XoAATMUz.jpg,370,"Finally, a sportswear company that really gets me.",@UncleDuke1969
13,,[],False,45,"Me to me: I'm pretty garbage

Someone complimenting me: You're so great
Me: You're absolutely wrong

Someone insulting me: You suck
Me: Listen here you little shit I'm amazing",@AnOrangeSNES
21,,[],False,108,[sees an ant on the wall] god you’re so dumb no offense,@WhaJoTalkinBout
51,,[],False,142,I don’t know who needs to hear this but my superpower is using format tweets and it shows,@Peauxtassium
1,,[],False,6,I can't believe so many people would quote tweet this,@AnOrangeSNES
