tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
116,,[],False,268,"Doctor: You have Twitter wrist.

Me: Is it tweetable?",@BucMarvin
2,,[],False,9,"Waze: there's an animal in the road"". This isn't helpful, only invites questions. Alive? Dead? Type? On the side, in the middle? Didn't know to speed up, slow down, pull over. So, confused, I just got out, laid in the road. Realized I had turned on self fulfilling prophecy mode.",@hou77056
3,,[],False,6,"*puts strawberry quick flavored milk in my cocoa crisp...*
 fu, what do you care what I put in my cocoa crispys? go be creepy somewhere else.",@BucMarvin
0,,[],False,0,Milk Bones vs Rachel Ray dog treats. Maybe if Rachel put cocaine in her treats.,@BucMarvin
1,,[],False,1,"idk, i think palmolive could've cleaned those ducks.",@BucMarvin
17,,[],False,40,Early morning dueling banjos of neighbor’s roosters crowing followed by a woodpecker pounding on my gutter. Hashtag hillbilly life,@sophielou
88,,[],False,350,"me: napkins clean up spills

her:

me: so do dogs

her:

me: so dogs are napkins

her: no

me: *wiping my mouth with a dog* pay attention Jen",@clichedout
348,24,[],False,1226,"Me: *Holds up drawing* is this the guy?

Witness: that looks nothing like him

Me: *furiously shaking Etch-a-Sketch* YOU DO IT THEN",@sonictyrant
36,,[],False,79,"roaches are crunchy. just like robots. coincidence? I think not.

stay vigilant.",@tiffistrying
6,,[],False,14,"Dude, I totally had sex with your sister.

[Me, to my brother-in-law]",@BucMarvin
0,,[],False,1,Some people you can tell will be a good follow just by their pinned tweet. @MindPassionate fits the criteria.,@BucMarvin
10,,[],False,18,"Me, in the first ten months of Twitter: ""What if I offend anyone when I re/tweet that? What if I lose followers over those lewd jokes?"" 

Me, now:",@MindPassionate
1,,[],https://pbs.twimg.com/media/D9r0EiVWwAAxd2h.jpg,2,"Didn’t know it was possible to make an alien look, well, alien, but alas",@jewdyblume
33,,[],False,110,"ME: I wish I could fly

GENIE: Granted!

ME: [hovering just high enough to get hit in the face by umbrellas] I hate you",@chuuew
2,,[],False,5,"You and I should have hooked up, raised a couple of kids together and went our separate ways years ago.",@BucMarvin
1,,[],False,3,I finally made an appointment with my doctor to have this LIVESTRONG band removed from my wrist.,@BucMarvin
3,,[],False,8,"Genie: That was your third and final wish. 

If you would be so kind...

____________________________
|        PLEASE RATE ME          |
|         Tell me how I did.          |
|            ☆ ☆ ☆ ☆ ☆                |
|____________________________|",@BucMarvin
11,,[],False,97,"I’m an untrained artist with little to no ability, but if you reply I’d be happy to draw an awful version of your avi.",@jewdyblume
