tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
25167,380,[],False,196542,"[1st night of a boyfriend sleeping over]

Me: I sleep with a sound machine, that ok?

Him: ya that's fine!

*I reach over & hit a button. The part in Hey Ya where he repeats ""alright alright alright alright"" starts to play on a loop*

Me *snuggles covers up to chin*: night babe",@Buffalojilll
42,,[],False,89," He’s a paniac, paniac at the disco 
And he’s panicking like he’s never panicked before",@DrakeGatsby
295,20,[],False,2448,"Blowjob                            tennis 
advice                       match meet-up

                      
             Don't forget
                the balls",@Buffalojilll
35,,[],False,155,"Penis, penwas, penalways will be",@CapriCornyCait
8,,[],False,58,"I don't know who needs to hear this but, you haven't pooped in two days, take a senna",@Buffalojilll
317,30,[],False,2593,"[First date at an aquarium]

Me: if I opened a seafood restaurant I would serve a sharkuterie board

Him: 

Me: SHARK-uterie

Him: uhh

Me: *under breath* ᵗʰᶦˢ ᵈᵃᵗᵉ ᶦˢ ᶠˡᵒᵘⁿᵈᵉʳᶦⁿᵍ",@Buffalojilll
21648,473,[],False,96268,What if testicles was pronounced like a Greek name,@RespectreOfComm
294,,[],False,998,me: [dead in the morgue] *one leg sticking out of bodybag*,@FredTaming
858,17,[],https://pbs.twimg.com/media/D9j6e1cUYAAom9m.jpg,7387,"Me: I’m taking the dog for a you-know-what. 

Husband: a w-a-l-k?

My dog:",@eff_yeah_steph
257,36,[],False,2257,"Me drafting tweets when i’m drunk: this is hilarious! 

Me reading drafts when i’m sober: potango: a love story of a potato and a mango",@andlikelaura
33706,2615,[],False,158725,He found a clam! A CLAM!!!,@JesusChrysler15
449,37,[],False,5447,"Love that Roy Moore is forcing himself on people who don't want him there, shows a real consistency",@meganamram
1626,72,[],False,8891,"Wife: Why can’t you just say phrases correctly?! 

Me: Well aren’t you a ray of sunscreen.",@DrakeGatsby
817,12,[],False,5408,"gf: house hunting is so boring

me: [unloading crossbow into wall] yeah there's not much of a challenge to it",@PoshTick
485,30,[],False,3425,"*handing nurse a bedpan*
Me: I pooped in this

Nurse: you're not a patient here",@Buffalojilll
1446,32,[],https://pbs.twimg.com/media/D9dtUvrUwAAuyU5.jpg,9173,pls enjoy boomer in a raccoon hat being a raccoon in a raccoon hat,@CdyRnkn
624,31,[],False,2911,"Detective: We need to make a chalk outline of the body.

Me: *with chalk*

I. The head
      A. The face
               1. Eyes
               2. Nose
               3. Mouth
                         a. Teeth",@Jamberee13
6949,221,[],https://pbs.twimg.com/media/D9XEPTCXkAYcOr-.jpg,22352,Holocaust Survivors Recall Exact Day Holocaust Started Right Out Of The Blue https://trib.al/dvfKT7d ,@TheOnion
323,34,[],https://pbs.twimg.com/media/D9cwoGHVAAAGjwz.jpg,3436,"Me: it’s so nice my kid is playing so quietly

My child, nonchalantly walking out of the kitchen:",@Megatronic13
13944,228,[],False,82836,"professor x: what’s your power?

me: i’m dummy thicc

professor x: that’s stupid please leave

me: ok [turns around to start walking, exposing my juicy dumper]

professor x: wait",@Skoog
