tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
16,,[],False,136,Soon...,@CHIMPSINSOCKS
20,,[],False,118,Brilliant. ,@CHIMPSINSOCKS
24,,[],False,154,Don’t. Bath. Cats.,@CHIMPSINSOCKS
2,,[],False,68,Kicking ass and takin’ names like a bastard.,@CHIMPSINSOCKS
7,,[],False,104,"Ordinary average looking people then. 
And incidentally, what a strange and bizarre  man you are.",@CHIMPSINSOCKS
7,,[],False,51,,@CHIMPSINSOCKS
4,,[],False,69,I love you Michael. I hope you know that.,@CHIMPSINSOCKS
1,,['#loveisland'],False,57,"LOVING Maura. 
Not loving Tom.  #loveisland",@CHIMPSINSOCKS
389,45,[],False,2421,"for those outside London who might be wondering, Boris Johnson was a really, really shit mayor.",@sarahlmorgan
15,,[],False,128,Oh good Lord.,@CHIMPSINSOCKS
4,,[],False,49,"Oh Allison, your tweet hasn’t aged well...",@CHIMPSINSOCKS
41,,[],False,331,‘PUT THE PYTHON DOWN AND COME INSIDE! YOUR TEA IS READY!’,@CHIMPSINSOCKS
6,,[],False,23,"Anything I can do, DM me. ",@CHIMPSINSOCKS
26,,[],False,47,"Please, please help. ",@CHIMPSINSOCKS
37,,[],False,95,This has to be stopped. It cannot be allowed to continue. It is barbaric cruelty. Senseless torture. No animal should ever go through that much pain and suffering for the delectation of human beings. This must not be allowed to continue. Please spread the word. Please help.,@CHIMPSINSOCKS
11,,[],False,160,Absolutely petty and ridiculous.,@CHIMPSINSOCKS
472,18,[],https://pbs.twimg.com/media/D9xKd3_XYAEv06s.jpg,1983,"shit, barbara....the body’s gone.",@forest_fr1ends
31,,[],False,366,Absolutely and one-hundred percent. ,@CHIMPSINSOCKS
4,,[],False,104,No.,@CHIMPSINSOCKS
8,,[],False,143,OH MY GOD!!! NO!!! REALLY???? FUCKING HELL!!!! etc... and so on...,@CHIMPSINSOCKS
385,32,[],False,1600,"Happy Birthday, Brexit!
3 Today! ",@BorderIrish
