tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
2987,42,[],False,15417,Cancel me daddy. I've been a problematic little boy,@Fatsgordo
1,,[],https://pbs.twimg.com/media/D9xxT5dWkAENPNm.jpg,14,Kirby you lush it’s not even 4 o’clock,@icedragonsays
1,,[],False,14,I want the CIA to destabilize this bussy,@Fatsgordo
75,,[],https://pbs.twimg.com/media/D9t2v7aU8AAqciJ.jpg,410,Django-Kazooie,@tolntran
2,,[],https://pbs.twimg.com/media/D9souQRWwAAw_8W.jpg,43,today is Kirby day,@toilethospital
0,,[],False,11,How about Starcraft Dude War and its just for the fellas?,@Fatsgordo
0,,['#hotfortrans'],False,16,Yes I'm #hotfortrans. Yes I'm sharing this because I'm thirsty. Yes that's obvious to anyone who's paid attention to anything I've ever said here,@Fatsgordo
10,,[],False,54,"taco bell employee: three forty is your change 
arby’s employee: sir, this is a wendy’s",@KandyKoehn
1,,[],https://pbs.twimg.com/media/D9maKUKWwAEGO6i.jpg,5,@Fatsgordo this u biting ur own butt cheeks?,@dreamydeer666
7,,[],https://pbs.twimg.com/media/D9jPUCaW4AAYBOz.jpg,62,This is what my drunk mind ha s created you’re welcome,@nerdjpg
0,,[],False,8,Studying poop theory,@Fatsgordo
16,,[],False,31,Studies show that when you share ur donations other people donate more. I don't have a lot of money but I just gave to RAICES which does direct action and advocacy for migrants at the border and I hope you can support them too!,@vaginadental
6,,[],False,55,"Looks like its time for me, Fats Gordo, to fix this whole mess with Iran",@Fatsgordo
9,,[],False,34,Anyone know the AOL keyword for the darkweb?,@Fatsgordo
3,,[],False,9,"I feel like I, the choir, get preached to a lot on this site",@foxy_chelicerae
2,,[],False,10,Thinking of all the celebrities I've outlived and how I've basically owned them,@Fatsgordo
388,51,[],False,2241,"joe biden to a female townhall questioner: do you have a racist bone in your body?

questioner: no

joe biden: do you want one?",@eatinginmycar
171,,[],False,967,Who wants deer lickies,@kinterdeer
1,,[],https://pbs.twimg.com/media/D9ichBnXUAAD7A4.jpg,4,"Ohkay, 2 versions. Obvs Baphomet is NSFW. This is for you @Fatsgordo",@BluehairCoffee
0,,[],False,5,Follow Borb. I need this,@Fatsgordo
5,,[],False,41,"cerebrate voice: ""Our drones are under attack!""",@Fatsgordo
