tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
629,38,[],False,3841,My wife got me glow in the dark condoms and then expected me NOT to make lightsaber noises during sex.  Women are a mystery.,@GorillaNipples1
91,,[],False,254,"Is this your 1st time at an Overeaters Anonymous meeting?

Me: *eating donuts* Yeah, why?",@3sunzzz
89,,[],https://pbs.twimg.com/media/D9rY_L8X4AEPqkH.jpg,266,NO OUTLET,@UncleDuke1969
152,,[],False,742,"George Harri: here comes the son
George Harrison: ",@TuSoonShakur
52,,[],False,120,"DAVID ATTENBOROUGH: ah the lion, nature’s finest predator

LION: wear something tasteful with a hint of mysterious sex appeal; a touch of cologne is ok, but don’t overdo; prepare a couple of colorful anecdotes that reveal the essence of your personality; ask her open-ended questi",@TuSoonShakur
275,11,[],False,1065,"Cop: Do you know why I pulled you over?

Me: So you could have a starring role in this dialogue tweet?

Cop: OMG yes!

Guy in the trunk: *muffled laughter*",@ThugRaccoons
85,,[],False,204,"My tombstone is going to say, ""I told you I was immortal.""",@ShootyDoody
145,,[],False,353,"Me: So... edibles can mean marijuana, but it can also be sexy underwear. What if it was both?

Marketing: We sell life insurance here, Simpson

CEO: *loudly eating Cheetos* wait....let's hear him out, Phil",@c12h22o11balls
92,,[],False,185,"The good news is that what I thought was a rat was actually just the kid’s hamster.

The bad news is I’d already kicked it over the fence before I realised.",@Gupton68
91,,[],False,166,"This day in history. 1964. The US Supreme Court ruled that Henry Miller's book Tropic of Cancer ""cannot be banned for fuck's sake.""",@JimmerThatisAll
112,,[],False,185,I've got both feet on the ground next to my purple Bentley.,@JimmerThatisAll
67,,[],False,162,It's not like we haven't all had a naked slip and slide incident in a puddle of cum before.,@LittleMissAngr1
115,,[],False,941,I’m 40 today. So naturally I woke up at 6:30 AM excited about using my new mower later. I need a werthers and some sanka.,@dadsrpeopletoo
88,,[],False,208,Hubble Telescope starts capturing image after image of dying galaxies and doomed planets. Then it turns its cameras on Earth and sends back to us one final picture zoomed in on our own stunned faces.,@BoomBoomBetty
