tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
1,,[],False,1,why are you doing this,@wolfekult
1,,[],False,12,Oh sure now you all go silent,@KissabiX
2,,[],False,10,Hi so people have started putting charities underneath popular tweets so I'm just gonna put this here so you all realise what an awful person you're supporting,@KissabiX
1,,[],False,2,"Stub your toe?
Waaa waaa .. learn to walk.",@curse_t_70
445,25,[],False,1960,this paper straw tastes like maybe I don’t love baby turtles,@glamoureptile
218,,[],False,511,Nobody knows how they got cats. One day you just have cats.,@citizenkawala
110,,[],False,493,"[desert island]
me: look!
wife: what?
me: a boat!
wife: HEEEEEELP!

me: *writing* day 287, she's still afraid of boats",@MarfSalvador
16,,[],False,103,What do guys with loud exhausts do with all that pussy anyway?,@Itskarleytime
1367,46,[],False,9153,I want this to be said to me before I get out of bed every morning. This is everything I want,@SheRatesDogs
136,203,[],False,1364,"My favourite vibrator died tonight. I’ll send him off the same way he lived his life, buried deep.",@CanadianBeave13
6,,[],False,18,"My wife was eating a turkey sandwich with no mayo and said she was eating her feelings, like damn I never realized she had such fucking boring feelings.",@YourAnMoron
30911,1095,[],False,151780,No guys my mum heard me making a stupid video and i sksksk ,@azizaax
0,,[],https://pbs.twimg.com/media/D9wuZrqXkAAR9mc.jpg,4,Posh boarding school kids on their first own clothes day be like:,@KissabiX
2305,65,[],False,8446,Best gender reveal ever,@drinksmcgee
18,,[],False,33,Why isn’t there a flea and tick pill but for people?,@offbeatoliv
0,,[],https://pbs.twimg.com/media/D9wH0GdXoAAhHum.jpg,47,,@KissabiX
58,,[],False,245,I’m down to zero toxic relationships in my life and it’s like whooooaaa.,@MomOnFire
183,,[],False,770,Precum should be called prenut butter,@JaimePrimak
41,,[],False,90,I’m probably not the best person to ask for validation on your foot tattoo.,@MomOnFire
648,38,[],False,2088,Apparently it's only repartée if it comes from the repartée region of France otherwise it's just sparkling wit.,@Mmelulu
5,,[],False,15,"Housewife advice please!

Please could you let me know what you use for a streak free finish I'm going bananas, everything I try just ends up being sprayed with cum, coz reflection.",@KissabiX
2,,[],False,121,"You can almost hear him praying to God: please let this be it 

God: fuck no hahahaha",@KissabiX
751,25,[],False,4466,When it becomes clear that you're not a daredevil you just want to die,@KissabiX
585,59,[],False,2300,When you’re trying to watch tv but she’s already on her second bottle of wine,@MFCheeseFries
72,,[],False,299,I really enjoy how women are supportive of women unless they're like tooooo attractive or in decent shape,@YourMomsucksTho
29,,[],False,104,"Girls get a lot of credit for the magic they do with makeup but you haven’t  seen shit until you’ve seen a guy hide a boner with only a hand, a waistband, and a slightly hunched over walk",@MFCheeseFries
106843,2501,[],False,372498,thinking about this legend,@ultraromanova
4,,[],False,32,Daddy: ˢʷᵃˡˡᵒʷ ᶦᵗ ʸᵒᵘ ᵘˢᵉˡᵉˢˢ ʷʰᵒʳᵉ,@KissabiX
9524,149,[],False,40830,Your nipples are older than your teeth,@emo2thextremo
13,,[],False,44,Maybe just send me a list for your DM room so I know who else to block.,@nappydolemite
130532,7548,[],False,533613,And there’s still a gender pay gap.,@chadloder
12,,[],False,31,The mute button is proof that ignorance is bliss,@KissabiX
1,,[],False,9,8. Call him again,@KissabiX
46,,[],False,187,PAY ATTENTION TO ME!,@DropsNoPanties
11,,[],False,63,"Stages of breakup

1. Breakup
2. Drink yourself stupid
3. Text him 
4. Text him again, maybe a slutty picture
6. Call him
7.",@KissabiX
66,,[],False,262,Alcohol was created so ugly people can have a chance too.,@blitz2six
0,,[],False,6,"Dr. Morrissey: Girlfriend in a coma, I know, I know - it's serious",@KissabiX
0,,[],False,2,"All 295 of you, not @resignedpixie ",@KissabiX
0,,[],False,3,Fuck you all this is comedy gold,@KissabiX
348,,[],False,714,I like my men like I like my coffee: sealed in airtight container at the back of a dark cupboard,@Mmelulu
