tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
8410,164,[],False,76213,i absolutely refuse to drink any tap water till it’s gone though my brita filter that i haven’t changed in 5 years,@MacMcCannTX
3226,157,[],False,9904,"If these children were prisoners of war, our treatment towards them would violate several standards of International Humanitarian Law.",@MEPFuller
5902,605,[],False,26631,"*I tweet about the treatment of children at detention centers*

*woman responds that they shouldn’t have come here illegally*

*I respond that these children are mostly entering legally at ports of entry, seeking asylum*

*she blocks me*

They don’t want to know. They don’t care.",@MEPFuller
470,36,[],False,3728, I had to do it @LilNasX,@CharleyCooks
12843,892,[],False,120193,me after getting cancelled,@LilNasX
13676,825,[],False,89016,me at the lil nas x is over party,@LilNasX
5,,[],False,33,Ever since I ate @Pluckers my life changed *preview* ,@Los_TheKing
2,,[],https://pbs.twimg.com/media/D9jLFDsU0AAE4LJ.jpg,119,VOGUE JAPAN,@matchu_chutrain
3346,276,[],False,51594,"it’s ok u don’t mean that 

▬▬▬.◙.▬▬▬
═▂▄▄▓▄▄▂
◢◤█▀▀████▄▄▄▄◢◤
█▄ █ █▄███▀▀▀▀▀▀▀╬
◥█████◤
╬═╬
╬═╬
╬═╬
╬═╬             
╬═╬  __
╬═╬/ \   \\
                    ",@LilNasX
26561,367,[],False,120923,When you have no veteran leadership in the locker room,@mikestaychillin
955,151,[],False,7143,"Why is it so hard for any Democrat to just say “War with Iran is wrong, and we oppose it unequivocally” ?",@willmenaker
0,,[],False,1,we gotta bring the upside down backwards visors look back ASAP,@MacMcCannTX
7,,[],https://pbs.twimg.com/media/D9mElvWWwAAvMEE.jpg,36,!!!,@SPCYBOIS
12,,[],False,59,me and the squad listening to the new @LilNasX on our way to get some wings,@Pluckers
4174,172,[],False,25521,,@LilNasX
527,73,[],False,7349,thank u cnn,@LilNasX
11282,617,[],False,133199,wtf they named a sandwich after my new song,@LilNasX
3065,58,[],https://pbs.twimg.com/media/D9jVFAZXsAEkvck.jpg,14924,,@InternetHippo
2,,[],https://pbs.twimg.com/media/D9iXtqaWwAIMsoU.jpg,15,@Pluckers NBA Draft can only mean one thing,@lukezim
20157,235,[],False,112484,"Peacock: *spreads feathers at me*

Husband: It’s trying to attract you as a mate

Me: *shyly lifts top*

Husband: no",@Megatronic13
1237,25,[],False,7435,When I eat one vegetable & tell everyone that I'm getting serious about my diet.,@roxiqt
