tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
1069,266,[],False,22291,Ok here is my Rapunzel impression but imagine I’m using like a microphone or something that would record audio better than a phone,@MichaelaOkla
3,,[],False,123,Presets are too complicated for me . Instagram influencers really work so much harder than we realize.... I’m supposed to just download this? And I cannot figure it out. It’s above me,@MichaelaOkla
50,,[],False,399,if we can all stay out of the psych ward long enough maybe we can do something about the world but they wanna stop us so bad...,@cummies911
13,,[],False,187,Please follow ernesto! Great guy new to Twitter,@MichaelaOkla
0,,[],False,68,HAHAHAHA,@MichaelaOkla
13,,[],False,515,Nobody has ever..... said this to me,@MichaelaOkla
3,,[],https://pbs.twimg.com/media/D9x57FYU4AAhjnB.jpg,725,helloooo,@MichaelaOkla
29,,[],https://pbs.twimg.com/media/D9xOe6kUcAA-Atb.jpg,650,Yes ,@MichaelaOkla
4,,[],False,435,"Oh and another thing, they’re sticky ",@MichaelaOkla
34,,[],False,541,Babies suck ,@MichaelaOkla
0,,[],False,341,god I’m so Rich,@MichaelaOkla
7,,[],False,441,?,@MichaelaOkla
48,12,[],https://pbs.twimg.com/media/D9uyv7jUwAU57cA.jpg,3339,Lot of bad dm slides out there but this one was really good u know like keep that energy king,@MichaelaOkla
8,,[],False,355,How long can a pizza sit out before it goes bad,@MichaelaOkla
31,22,[],False,1387,I had such fun birthdays when I was small my parents would always get bounce castles and stuff so that’s probably why they make me so sad now but what if I got myself a bounce Castle this year and get a theme like princess stuff with little gift bags then maybe I’ll be happy,@MichaelaOkla
212,10,[],False,2077,If u don’t cry at the end of ur birthday was it ever ur birthday,@MichaelaOkla
0,,[],False,231,Hmmmm I’m worried about u guys,@MichaelaOkla
85,,[],False,770,If I drink Neosporin will it make my insides painless,@MichaelaOkla
13,15,[],https://pbs.twimg.com/media/D9tbReMUwAA62hl.jpg,1440,Cashier and I made eye contact & I whispered “I hurt myself..”,@MichaelaOkla
0,,[],False,127,I try to get my friends to go to Hawaii with me every week and they never do,@MichaelaOkla
13,,[],False,729,Omg it’s the 22 one month till my birthday what can I do this year so that it doesn’t end in me feelin lonely and crying,@MichaelaOkla
