tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
76,,[],False,244,"THEM: I don’t really care because it’s not affecting me personally. 

ME: I used to be a complete dick, too.",@MsFoxIfUrNasty
280,20,[],False,2768,Not sure why these right-wing Oregon militias are willing to die to stop a climate change law when they could just wait like 20 years,@TheDweck
6003,607,[],False,26979,"*I tweet about the treatment of children at detention centers*

*woman responds that they shouldn’t have come here illegally*

*I respond that these children are mostly entering legally at ports of entry, seeking asylum*

*she blocks me*

They don’t want to know. They don’t care.",@MEPFuller
2,,[],False,11,"Three horror movies in two days and now I know with certainty that no one upstairs can hear my blood curdling screams, so I’ll just die if an attacker or a demon or a vengeful ghost descends into the basement I guess.",@MsFoxIfUrNasty
649,38,[],False,2096,Apparently it's only repartée if it comes from the repartée region of France otherwise it's just sparkling wit.,@Mmelulu
11,,[],False,15,"Wish the Golden Rule 
were made of more common stuff.
Shouldn’t be so rare.",@haikuplatypus
36,,[],False,90,"Some day, a special someone will come along, steal your heart and make you believe that marriage should be for life...for about ten years.",@Henry_3000
14089,1213,[],https://pbs.twimg.com/media/D9seZ8_XoAYq4UG.jpg,16456,"You should read this whole New Yorker piece about the conditions at Border Patrol facilities in Texas, but if you can't read the whole thing, at least read this paragraph: https://bit.ly/2xaCOpI ",@kylegriffin1
38,,[],https://pbs.twimg.com/media/D9tYsWCWkAASmUU.jpg,74,In case anyone’s curious where John Bolton  in particular stands on The Hague:,@Guinz
277,,[],False,809,Carnivals are fun because you trust a person you would avoid on the street with your life for three minutes.,@10kbabyspiders
21,,[],False,74,"Tried to spice up my sex life by dipping my dong in caramel & rolling it in peanuts like a Payday bar, but I was attacked by birds, had to go the hospital, and am no longer welcome at PetSmart.",@TheRobCee
1493,96,[],False,4783,"Dating:

“No you hang up!”
“No you hang up!”
“No you hang up!”
“No you hang up!”

Marriage:

“No you shut up”
“No you shut up”
“No you shut up”
“No you shut up”",@FU_TangClan
14,,[],False,35,"[Job Interview] 

Investment Bank Manager: ""Can you define yourself in one sentence?""

Me: """"Hmm. I'd have to say '5 years jail time, with the possibility of parole for securities fraud and insider trading'""

Manager: ""Perfect. When can you start?""",@WheelTod
1250,63,[],False,7512,"[repeatedly mashing elevator button]

him: you know that doesn't make it come any quicker

[starts licking elevator button]",@MarfSalvador
26,,[],False,68,"[night of the purge]

me: [loading the dishwasher]

man: *peeking out from safe room* uhhh, what are you doing

me: please just let me have this *putting on an apron* it's the only time i can feel like a homeowner",@existential_d
16,,[],False,42,"“So weird how some men give their penis a name like Roger or Thor”, I observe with my mouth (Robert) while gesticulating wildly with my hands  (Jerry & Ben).",@WheelTod
25,,[],False,45,He said her name like it was an enchanted word to summon faeries. He called her out of his desire but at her pleasure. He called her simply for the thrill of having her arrive.,@Henry_3000
