tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
49487,701,[],https://pbs.twimg.com/media/DYrBtRaVoAA5eEp.jpg,193106,I went out of town for a few days and came home to my dog who seems to want to have a word with me about it.,@RuinMyWeek
2,,[],False,25,"[at a Zoltar machine that only kinda sorta pays attention]

Me: I wish I were big.

*I turn into a pig*

*I panic and try to get more coins but can’t grasp with my hooves*",@RuinMyWeek
18515,182,[],False,96269,Twitter is great if you can't afford therapy but you also don't want to get any better.,@Home_Halfway
1,,[],False,26,"God: How are those wolves I made doing?

Angel: Well the humans have domesticated them and now make them pose in front of colorful walls to get likes on their Instagram accounts

God: ok I’ve had enough. Hit ‘em with the climate change.",@RuinMyWeek
10543,54,[],False,54663,"I have never in my life learned from another person’s mistakes, I would literally let a giant wooden horse into my house right this second.",@iamspacegirl
0,,[],https://pbs.twimg.com/media/D8-ZDiFUcAAfm7R.jpg,19,Hmmm...,@RuinMyWeek
6,,[],https://pbs.twimg.com/media/D80phs6VUAAKts2.jpg,62,Biscuit’s out here looking like your dad who fell asleep in his chair when you were out past curfew.,@RuinMyWeek
1,,['#TARGET'],https://pbs.twimg.com/media/D80f--xUcAA2kcH.jpg,18,Fuck you #TARGET .  i just want some God damned shoes,@RuinMyWeek
1,,[],False,21,"[first date] 

Her: ""Can you pass the salt?""

T-Rex: *spends the next hour trying to reach it* .....No.",@RuinMyWeek
0,,[],False,3,Very glad to not be the idiot for once.,@RuinMyWeek
17,,[],https://pbs.twimg.com/media/D8Zin3PVUAIsGk6.jpg,123,Proud of how healthy I’ve been eating!,@RuinMyWeek
10,,[],False,69,Me trying to write an actual letter after 20 years of emailing,@RuinMyWeek
14,,[],https://pbs.twimg.com/media/D8PbhRRU8AAjqNw.jpg,106,"The photographer  
trying to                          
explain for the 
37th time how  
humans naturally 
stand so they 
can maybe
get a normal                         Trump Jr. 
picture for once",@RuinMyWeek
2,,[],False,68,"Remember the whole Marie Kondo fad where we all cleaned like half a room and were like “welp, that’s quite enough of that.”",@RuinMyWeek
2,,[],https://pbs.twimg.com/media/D76UYSDU8AAFU70.jpg,24,"Me explaining in                         
detail why 
Sister Act 2:                            The
Back in the                          barista at
Habit is                                my local
better than                        coffee shop
the first one",@RuinMyWeek
1544,55,[],False,4191,"I wrote a song called ""We Don't Need Healthcare"" after reading that *incredibly* inspirational story of the two-year old whose family couldn't afford a walker for him so they built one out of parts at Home Depot! Wow :D!",@mynameisntdave
1,,[],False,73,Look at my dog. Just look at him.,@RuinMyWeek
5020,60,[],False,19384,Why stop at weighted blankets? Put a boulder on me.,@prufrockluvsong
0,,[],https://pbs.twimg.com/media/D7wbE9zUwAA62Lh.jpg,20,Couldn’t they just have had Octavia Spencer play Octavia Spencer?,@RuinMyWeek
1,,[],False,12,"[on the phone with the person who kidnapped my family] 

Me: Please don’t kill my family, I’ll do anything.

Kidnapper: The only thing you have to do is tell me what posters you had up in your dorm room in college.

Me: Ahh...Can I say goodbye to them at least?",@RuinMyWeek
2,,[],https://pbs.twimg.com/media/D7hAlbNU8AAUohD.jpg,43,This is the picture everyone takes right after they finish Tough Mudder.,@RuinMyWeek
