tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
14,,[],https://pbs.twimg.com/media/D9xv9o5WsAECccL.jpg,407,"new video about the stupidest ways you can save money, featuring an 8 minute video of my subscribers crying at the end. https://youtu.be/xMscX6Thgx0 

if you're in the video reply to this tweet with a screenshot",@SJSchauer
1,,[],https://pbs.twimg.com/media/D9ylJC8XYAEhc1E.jpg,175,bold and attractive.,@SJSchauer
0,,[],False,103,show don’t tell,@SJSchauer
32,,[],https://pbs.twimg.com/media/D9yehu0XkAE5d-d.jpg,527,call me Kermit one more time,@SJSchauer
29,,[],False,818,Siri told me to go East so I did the whole Never Eat Soggy Waffles and realized I’m 24. Just look at the fucking sunsetting and go away from it.,@SJSchauer
3,,[],https://pbs.twimg.com/media/D9x33jCWkAEG08W.jpg,133,One of my emotional breakdowns finally paid off ,@electricspecter
2,,[],https://pbs.twimg.com/media/D9x4tqQXkAAYN0S.jpg,54,i just watched this at work at the host stand waiting to see myself and i am not disappointed,@atinyfurnace
2,,[],https://pbs.twimg.com/media/D9x5fbeWwAAyUuz.jpg,59,"the time has come. my tears have been seen, congrats little ones",@OkayStupid
2,,[],https://pbs.twimg.com/media/D9xzWl1XYAUs2jp.jpg,134,I CANT BREATHE HAHHAH I ACTUALLY MADE IT,@Royal_Crybaby
1,,[],https://pbs.twimg.com/media/D9xydhbWwAEFz1s.jpg,62,Felt that,@sskylllar
4,,[],https://pbs.twimg.com/media/D9xy1viXYAAqgHn.jpg,132,this is my moment,@bayleighwbush
1,,[],https://pbs.twimg.com/media/D9xxnKIWsAAowRV.jpg,53,THIS dumb BITCH MADE IT,@ephemerelz
1,,[],https://pbs.twimg.com/media/D9xwqpLWkAEWPeA.png,41,SARAH KJDKJSHJFBFSHFBGJB,@gukksptw
4,,[],https://pbs.twimg.com/media/D9xw1POX4AINSqM.jpg,130,i feel seen,@keendabeen
4,,[],False,415,todays video is going out soon. the last eight minutes of it is just people crying to stock farting noises.,@SJSchauer
1,,[],False,463,cuz to get the crying pics from Instagram you have to screenshot your DMs and guys sent me like 15 dick pics and I accidentally screenshot one and mass uploaded the screenshots to Premiere cuz there’s 200+ photos and just saw it,@SJSchauer
6,,[],False,623,My new video is going out tomorrow. Accidentally put a dick pic in the crying montage. Have to take it out,@SJSchauer
141,54,[],False,4737,Matched with a guy on Tinder and he asked my favorite restaurant and I said “Cicis Pizza.” He hasn’t responded in 6 days.,@SJSchauer
11,,[],False,580,“Weird kink” is redundant emily but okay,@SJSchauer
280,28,[],False,2320,A dating app where two people match and beat the shit out of me.,@SJSchauer
