tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
73057,276,[],False,315378,"me: wow is that a mocking bird

mocking bird: ""WoW iS tHaT a MoCkInG bIrD"" fuck you",@Shen_the_Bird
8494,31,[],False,52754,kidnapper: [putting more duct tape over my mouth] i said stop eating it,@Shen_the_Bird
23,6,[],False,1095,i'm a professional illustrator,@Shen_the_Bird
1724,19,[],False,15278,"herman melville: i've finally finished my novel, moby penis

editor: can we talk about the title

herman melville: it's now moby dick and if i hear one more word it will be moby cock",@Shen_the_Bird
437,3,[],False,4014,"[first day as a mechanic]

guy: are you sure you know what you're doing

me: [sheathing tape measure] your car's fucked dude",@Shen_the_Bird
1547,9,[],False,13925,"me: i fell down rollerblading on a treadmill

police sketch artist: i thought you said you were attacked

me: by my own hubris",@Shen_the_Bird
21513,186,[],False,96684,"interviewer: you have a 3 year gap on your resume that just says “vengeance”

me: 

interviewer: 

me: you don’t remember me do you?",@conajam
933,25,[],False,13254,i'm convinced billy eilish's eyelids weigh ten pounds each,@Shen_the_Bird
14678,150,[],False,76734,"duck: [sees my bread] i lust for crust

me: no

duck: c'mon that dough make me go oh

me: it'll make you sick

duck: i am a beast for the yeast baby",@Shen_the_Bird
2674,23,[],False,19919,"interviewer: alright do you have any questions for me

me: have you seen megamind",@Shen_the_Bird
4342,66,[],False,39601,"[arriving in hell]

me: i didn't know i'd have to wear what i died in forever

satan: where did you even find denim underwear",@Shen_the_Bird
2753,26,[],False,24823,"robber: put the money in the bag

mcdonalds cashier: ok just don't kill me

robber: now put sprite in this water cup

mcdonalds cashier: fuck you i'd rather die",@Shen_the_Bird
812,12,[],False,8019,"me: i was attacked by ninjas-

doctor: says here you kicked a target cement sphere to see if it would bounce",@Shen_the_Bird
240,5,[],False,3286,"nintendo ds: you caught your first pokémon. what would you like to name it

me: dickbutt

nintendo ds: you want to name it dick butt

me: no. dickbutt, one word

nintendo ds: look dude i'm not naming it dickbutt",@FrazzleMyGimp
458,16,[],False,5077,"I’m just like any other girl. I dream of a big wedding, standing beneath a flower arch reciting vows to my betrothed, secretly wishing they were Mater from Cars, disappointedly looking in the parking lot for that rusty, animated tow truck but still living happily ever after.",@SJSchauer
449,13,[],False,1990,"NOW THROUGH

          SUNDAY!
SUNDAY!
                    SUNDAY!

VISIT YOUR LOCAL TOYOTA DEALER TO FIGHT A WALRUS IN OUR

           HALLWAY!
HALLWAY!
                 HALLWAY!",@pleatedjeans
4919,32,[],False,36777,"me: i heard staying up too late can cause hallucinations

elmo with teeth: that sounds made up",@Shen_the_Bird
10934,55,[],False,61927,"me: [absolutely killing it on harmonica]

taco bell cashier: are you gonna order",@Shen_the_Bird
1011,15,[],False,12692,"kid in a scary movie outside a haunted house: ok we saw it can we go now

kid who will definitely die in 12 minutes: what are you  C H I C K E N",@Shen_the_Bird
