tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
867,101,[],False,2276,"Hey, girl, are you Toys R Us? Cuz you used to be fun but now you’re just empty inside.",@SirJeremyLondon
189,,[],False,655,"It’s only depression if it’s from the Dépression region of France, otherwise it’s just sparkling sadness.",@karanlyons
58,,[],False,197,To find the clitoris in a woman first you need to find the clitoris in your soul.,@karanbirtinna
111,,[],False,505,"[desert island]
me: look!
wife: what?
me: a boat!
wife: HEEEEEELP!

me: *writing* day 287, she's still afraid of boats",@MarfSalvador
2505,151,[],False,6214,"an abridged history of the modern Republican party 
1968: racists are cool
1970: gun nuts are cool 
1980: wealth hoarders are cool 
1984: religious nuts are cool 
2016: Nazis are cool 
2017: child molesters are cool 
2018: traitors are cool 
2019: concentration camps are cool",@itsJeffTiedrich
415,245,['#art'],https://pbs.twimg.com/media/D8b7t3FVsAELqtu.jpg,1440,"Southern California people, starting tomorrow I will begin giving all of my paintings away. I will be leaving them in public locations and will post a photo here in order to help people find them. The paintings will be signed and a note will be attached. Watch this thread. #art",@OctopusCaveman
11,,['#LondonArtsActingSchool'],https://pbs.twimg.com/media/D9tp15lXsAEjUt3.jpg,181,Record attendance in my acting class last night. Truly amazing. #LondonArtsActingSchool,@SirJeremyLondon
2,,[],https://pbs.twimg.com/media/D9selxPXoAEANO2.jpg,22,My coach my friend!! going over them lines!,@ActorAnglin71
1,,[],False,10,"Ordinary boy : send nudes

Me : ",@tusheverpahwa
58,,[],False,177,*Send foods,@SirJeremyLondon
141,,[],False,439,I hate when I forget to not remember,@SirJeremyLondon
22,,[],False,170,If I were an alcoholic beverage I'd be a Long Island Iced Tea. I'm cheap and you get a lot of bang for your buck.,@littlebetchk
87,,[],https://pbs.twimg.com/media/D9hmdwjWwAECJ7a.jpg,668,I’m on the front page of the @ocregister,@OctopusCaveman
28,,[],https://pbs.twimg.com/media/D9fYGiNXoAAbzvO.jpg,63,"""There are all kinds of love in the world, but never the same love twice "". - F. Scott Fitzgerald",@Melamory_Blimmm
1363,104,[],False,4884,"Suffering from anxiety or depression?
Try new Cheer Up™

Solve ALL your problems with ease by
𝓒𝓱𝓮𝓮𝓻𝓲𝓷𝓰 𝓤𝓹!

And now introducing NEW Cheer Up™ for WOMEN: Calm Down™",@FU_TangClan
6,,[],False,51,Brilliant,@SirJeremyLondon
2,,[],False,21,"Started with one $1200 bitcoin and road it all the way up to $19,000 but then it started going down and I sold at $14,000. So I still made a good chunk of change but it’s a very volatile market. As soon as it goes up everyone wants to buy in. The good news is that it’s real $$$",@SirJeremyLondon
132,,[],False,517,"Someone at a fancy restaurant: “What does this wine pair well with?”

Waiter: “Cocaine.”",@SirJeremyLondon
239,,[],False,756,"Me: I’d kill for a donut

Mob boss: you’re hired",@FU_TangClan
475,7,[],False,3979,"me: *responds maybe to a fb event*

wife: [from the other room] YOU’RE GOING TO OUR SON’S BIRTHDAY",@TweetPotato314
2,,[],False,37,Way to brag that you can afford both divorce and build a bear jeez ,@ashmensch
