tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
17719,89,[],False,35882,"ME: I'll see you in a month
WIFE: Don't forget to write
ME: It's highly unlikely I'd forget such a basic skill, Sharon",@TeaAndCopy
4,,[],False,12,"WIFE: was the zoo fun?
ME: yep
WIFE: promise you didnt steal a penguin
[giraffe pokes its head through bedroom window]
ME: I did not steal a penguin",@TeaAndCopy
0,,[],False,1,"Marty like it's my birthday, gonna sip Bacardi like it's my birthd—what’s that officer? I don't care how early it is… No I will not put my trousers back on",@TeaAndCopy
2,,[],False,3,"COLONEL: cheetos
EMPLOYEE: what?
COLONEL: [banging desk] finger lickin’ cheetos
EMPLOYEES: yes…yes sir
COLONEL: lol I’m so high right now",@TeaAndCopy
0,,[],False,9,Somebody call ChildLine.,@TeaAndCopy
0,,[],False,5,was the farm full of alien ants or was the entire ant farm an alien,@TeaAndCopy
5,,[],False,31,"INTERVIEWER: what’s your greatest weakness?
ME: I take things too literally
INTERVIEWER: can you expand?
ME. externally no, but internally my blood vessels are able to in order to get more blood to my heart when my temperature increases",@TeaAndCopy
0,,[],False,0,I have one. https://twitter.com/NWSKansasCity/status/1141873222373167104 …,@TeaAndCopy
15,,[],False,46,"Instinctive reactions I have:
• Putting my hand to my face when I sneeze
• Flinching when someone scares me
• Smiling when I’m happy
• Yawning when somebody else yawns

Instinctive reactions I do not have:
• Physically assaulting women by grabbing their necks",@TeaAndCopy
0,,[],False,3,"Screw you guys, this is a great joke",@TeaAndCopy
1,,['#SummerSolstice'],False,15,Everyone is saying it’s the longest day today but I’m pretty sure the longest day is Wednesday. #SummerSolstice,@TeaAndCopy
0,,[],False,10,Spider-Man: Homescrubbing,@TeaAndCopy
0,,[],False,5,"It's so warm today, I'm considering telling everyone I support Boris Johnson just for the cold stares.",@TeaAndCopy
1,,[],False,31,"Let’s play a fun game. Post your credit card number, expiry date and 3-digit security code below and I’ll post a gif that sums up your personality! ",@TeaAndCopy
1363,104,[],False,4884,"Suffering from anxiety or depression?
Try new Cheer Up™

Solve ALL your problems with ease by
𝓒𝓱𝓮𝓮𝓻𝓲𝓷𝓰 𝓤𝓹!

And now introducing NEW Cheer Up™ for WOMEN: Calm Down™",@FU_TangClan
12,,[],False,131,"ME: [holding newborn son] my surname or yours?
WIFE: how about double-barrelled
ME: good idea, leave it with me

[years later]
SON: dad why is my name Brad Shotgun?",@TeaAndCopy
2,,[],False,10,artists make terrible soldiers because they draw enemy fire thank you for reading,@TeaAndCopy
119317,734,[],False,279973,Here’s a thread for words of 23 emotions that people feel but can’t explain,@amirnrf
9,,[],False,60,"<)   )╯
 /    \
Don't you wish your girlfriend

\
 (   (>
 /    \
had teeth like me?

  
<)   )>
 /    \
Denture?",@TeaAndCopy
1,,[],False,13,STRANGE BUT TRUE: The average human only has one testicle.,@TeaAndCopy
475,7,[],False,3979,"me: *responds maybe to a fb event*

wife: [from the other room] YOU’RE GOING TO OUR SON’S BIRTHDAY",@TweetPotato314
5,,[],False,15,"[reaching into shark’s mouth for a can of coke]
Oh no",@TeaAndCopy
0,,[],False,5,"[couple arguing]
MAN: I'm the breadwinner in this family Susan!
WIFE: Oh don't give me that
MAN: It's tru–
[suddenly surrounded by 100s of ducks]",@TeaAndCopy
1,,[],False,2,"The absolute state of this. So desperate asking for money from Twitter followers.

Thanks for reading! If you want to donate money to keep @TeaAndCopy going please click here: https://www.paypal.me/teaandcopy ",@TeaAndCopy
4,,[],False,25,"CEO: Jim. I've called you into my office because I'm quite concerned. You seem very sluggish recently
SNAIL: My home has been repossessed",@TeaAndCopy
5,,[],False,37,All those who adopt German children raise their Hans,@TeaAndCopy
2,,[],False,16,ME: [shouting after her] What about Heaven-Eleven?,@TeaAndCopy
1,,[],False,12,"If I got home to my wife and said, “Work’s going great, only 30% of people want me sacked and arrested”, she would think I‘d have completely lost it.",@TeaAndCopy
0,,['#FathersDay'],False,3,I'd like to wish a Happy #FathersDay   to our milkman from 29 years ago.,@TeaAndCopy
3,,[],https://pbs.twimg.com/media/D9Fdw2NWwAAJsNC.jpg,9,When’s Chair Day? https://twitter.com/whitehouse/status/1139560651666415616 …,@TeaAndCopy
2,,[],False,10,"[marketing conference]
SPEAKER: to really make it in this industry, you need have a thick skin
SKELETON: [getting up at the back] fuck this",@TeaAndCopy
8,,[],False,18,SEE YOU LATER (2019) in theaters this Halloween.,@TeaAndCopy
2,,[],False,9,"""Actually, I think you'll find they're escaping down the stairs,"" said the prison guard, condescendingly.",@TeaAndCopy
0,,['#ff'],False,7,"Happy birthday to Twitter’s resident poet laureate, @brian_bilston. It’s a crime not to follow his rhymes. #ff",@TeaAndCopy
2525,48,[],False,4349,"TRIGGER HAPPY

And they cried, 
it’s not the guns

that kill people, 
it’s the people,

as the bodies 
piled up,

through each 
shameful sequel.

And each defender
of the gun laws,

with the death count
getting bigger,

may as well 
have had

their own finger
on the trigger.",@brian_bilston
4529,140,[],False,3693,"Board game idea:

BONOPOLY: like Monopoly but where the streets have no name.",@brian_bilston
7137,166,[],https://pbs.twimg.com/media/B8XEYdpIEAA4dS1.jpg,8502,Here's a poem about the problems caused when a mathematical concept takes over a poem.,@brian_bilston
7914,333,[],https://pbs.twimg.com/media/CKmvNdKWwAAvAzj.jpg,12793,"Here's a new poem called ""At the Intersection"", which I have written in the form of a venn diagram.",@brian_bilston
12260,586,[],https://pbs.twimg.com/media/CeQBr9HW8AEDhGj.jpg,15589,"Here is a new poem entitled ""Refugees"". Please bear with it.",@brian_bilston
