tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
16758,137,[],False,128366,"dad: *taking off belt* I’ll give you something to cry about

me: oh yeah 

dad: *holds up belt* it took 3 baby cows to make this 

me: *sniffling* moo moos",@TweetPotato314
37,,[],False,256,"Daughter: was I a mistake?

Wife: no honey.

Son: was I a mistake mama?

Wife: no baby.

Daughter: so no one was a mistake?

Me: [holds up mushroom] hey look I’m a fungi to be with!

Wife: well...",@NewDadNotes
11,,[],False,71,me: [sees hugh laurie at the trampoline park] ᵇᵒᵘᶰᶜʸ ʰᵒᵘˢᵉ,@TweetPotato314
23,,[],False,78,"So I said “What about Signs with Mel Gibson?”

She said “I think I remember that film and-
The aliens ran through a dewy wet corn field”

And I said “Well there’s the hole in that plot”

Bwaaa dada da da dooo",@JeffisTallguy
112,,[],False,509,"[desert island]
me: look!
wife: what?
me: a boat!
wife: HEEEEEELP!

me: *writing* day 287, she's still afraid of boats",@MarfSalvador
3051,86,[],False,11385,"A girl was born with a harmonica instead of vocal chords and when she cried it filled the room with a melody so sweet. “Make her cry more!” The villagers would shout. “Throw trash at her and lets jig, baby!” “HWAaangGG” she’d reply.",@whatmaddness
27,,[],False,209,me: [wearing a belly shirt in greece] acroptopolis,@TweetPotato314
256,3,[],False,1492,"her: it’s the third date

me: you know what that means 

her: yep ;) 

me: we’re gonna steal the declaration of independence",@TweetPotato314
76,,[],False,716,It’s not easy making sure my battery reads 69% at precisely 4:20 each day but I literally have no other skill,@TweetPotato314
1087,20,[],False,4496,[anxiously trying to put wrinkly dollar bills in a mitten vending machine as an avalanche approaches],@dorsalstream
12070,115,[],False,44160,so i have no proof to back this up but i’m pretty sure cowboy bees would say beehaw,@markydoodoo
5878,35,[],False,43562,"me: hey why-

librarian: shh

me: ʷʰʸ ᶜᵃⁿᵗ ʷᵉ ᵗᵃˡᵏ ᶦⁿ ˡᶦᵇʳᵃʳᶦᵉˢ

librarian: they'll hear us

me: who is they

the ghost who lives in the shelves: WHO DARES DISTURB-

librarian: SHH

the ghost who lives in the shelves: ᶠᵘᶜᵏ ᵈᵒ ᵘ ᵗʰᶦⁿᵏ ᵗʰᵉʸ ʰᵉᵃʳᵈ ᵐᵉ",@Dustinkcouch
492,7,[],False,3910,"[first day as a cop]

me: suspect is running nude through downtown

dispatch: copy that

me:  *starts undressing*",@_elvishpresley_
1682,49,[],False,17455,"Dad: it’s time we had “the talk”

Me: oh, I already know about dancing the forbidden polka 

Dad: the what? 

Me: ya know, boppin’ squiddles??

Dad: excuse me  

Me: slaying the vadragon??

Dad: what?!?

Me: disappointing the wife 

Dad: oh sex, right",@Megatronic13
538,6,[],False,3658,"me: how bad is it 

dr: nothing that can’t be fixed with some mild dietary restrictions and moderate exercise 

[later]

wife: what did the doctor say

me: linda....i’m dying",@TweetPotato314
