tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
721,26,[],False,3354,"Me: I hear you love company?
Mystery: No, that's Misery
Me: Oh
Mystery: 
Me:
Mystery:
Me:
Mystery: OR IS IT",@abbycohenwl
4,,[],False,37,"What's the word for when you don't have a dominant hand but you're not ambidextrous, you just suck on both sides",@maurajbg
138,,[],False,232,"If you get a tattoo of your top tweet, well, the joke's on you.",@Mardigroan
13,,[],False,43,"as governor of Indiana, Mike Pence allowed over 215 cases of HIV infection to happen because his “faith” opposed needle exchanges; his identity as a “man of faith” has done nothing but harm everyone that he touches and when Trump is impeached, Pence must go as well",@bornmiserable
12,,[],False,21,"ME: I dreamed I was up Shit’s Creek. 

THERAPIST: That’s a relatable feeling of desperation. You just need a paddle. 

ME: I was the paddle.",@WoodyLuvsCoffee
10,,[],False,38,[breaks into a serial killer’s house and hides in his closet] and now we wait,@bornmiserable
130,,[],False,659,"What do those colorful French expressions mean?
c'est la vie       it's alive
raison d’être    raisin of death (every raisin)
cul-de-sac       cool sack! (genital compliment)
gendarme        arm gender
apropos           hi, popo! (""hello, officer"")",@abbycohenwl
323,19,[],False,1104,"Scorpio: We’re not going to sugar-coat this, you’re going to have to fight a goose for your lunch this week.",@Sorrowscopes
3,,[],False,14,"The more photos I print to put on my vision board, the more photos of money I have to print to pay for all the ink I need to print photos to go on my vision board",@abbycohenwl
6,,[],False,34,"LinkedIn: You appeared in 42 searches this week 
Me: Yay!
LinkedIn: None of them liked you
Me: Oh no
LinkedIn: But 15 connections who are younger than you got promoted",@abbycohenwl
4779,80,[],False,8560,"Heart: I just want people to like me.

Brain: But you say weird things.

Haunted doll under my bed: And your forehead is always shiny.",@JRobb773
231,,[],False,589,"Me: No glove no love.
Gyno: Please don't make another pap uncomfortable.",@sixfootcandy
29,,[],False,138,fun adult game: put your keys down. walk out of room. now try and remember where your keys are. it's cool as heck and you can play for hours,@abraveturtle
52,,[],False,120,"DAVID ATTENBOROUGH: ah the lion, nature’s finest predator

LION: wear something tasteful with a hint of mysterious sex appeal; a touch of cologne is ok, but don’t overdo; prepare a couple of colorful anecdotes that reveal the essence of your personality; ask her open-ended questi",@TuSoonShakur
256,,[],False,537,Well well well. If it isn’t that poor choice I can’t stop repeatedly making.,@UnFitz
190,,[],False,358,I'm not hard of hearing. I'm tired of hearing.,@TweetsByTheTony
209,,[],False,301,this is all a terrible tom clancy mini series don't fall for it,@seamussaid
48,,[],False,177,"This morning I met a dog with a job, which means he's already more successful than several of my exes.",@xLiserx
37,,[],False,136,One time I made eye contact with a hipster in a coffee shop and a vape cloud appeared and carried me to a thrift store.,@JediGigi
264,,[],False,522,Any ghost sophisticated enough to haunt a hotel is going to find the 13th floor whether you have an elevator button for it or not.,@Contwixt
20830,141,[],False,113108,"the film industry for women, queers, and people of colour:",@_jarking
