tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
30842,527,[],False,132805,"[Queer Eye, Hogwarts edition]

Tan: Today we're meeting Rubeus Hagrid 

Hagrid, holding dead rabbits: ‘Ello 

Jonathan: YAS QUEEN! You are giving me so much sexy mountain man face, I can’t even. You can take me to the forbidden forest anytime",@andlikelaura
0,,[],False,10,"Despite all the treats my cat just wants to yell in my face 
Despite all the treats my cat just wants to yell in my face 
Then after food she’ll go to sleep in her cat tree
Despite all the treats my cat just wants to yell in my face

     -billy catgan",@andlikelaura
2891,43,[],False,17147,"I don't use Tinder, I meet girls the old school way: never",@clichedout
338,,[],False,610,"You can find me in the club, selling body scrub. Hawking perfumes by the liter and some Vicks VapoRub. I got vanilla candles and some bubbles for your tub...

~Fifty scent",@TuSoonShakur
55,,[],False,140,"[trying out my magic tricks for the first time]

*sawing person in half*

Funeral director: *wrestling me away from casket*",@steeve_again
79,,[],False,327,"No one:

Nipples: IS IT COLD IN HERE BECAUSE IT SEEMS COLD IN HERE IS ANYONE ELSE COLD",@Mom_Overboard
209,,[],False,819,The salmonella/romaine outbreak of 2018 was so scary that I haven’t eaten lettuce since 2006,@DrakeGatsby
42,,[],False,86," He’s a paniac, paniac at the disco 
And he’s panicking like he’s never panicked before",@DrakeGatsby
0,,[],https://pbs.twimg.com/media/D9yCeszUwAAm_6N.jpg,82,hello i just got a massage how’s your day,@andlikelaura
139,23,[],False,1696,"Guy: *sends dick pic*

Me: do you seriously not have sheets on your bed good god get it together man we’re not in college",@andlikelaura
60,,[],False,413,"Him: i really like you 

Me: I think we should break up 

Him: wow ok bitch

Me: on second thought",@andlikelaura
314,13,[],False,1770,"Me: you’re gonna sleep with the fishes

Informant: why?

Me: for spilling the beans

Informant: I didn’t-

Me: shut your fern gully

Informant: what

Me: don’t give me no sammy jammy

Informant: ok now you’re making these up

Me: *leans forward* looks like we got us a bulbasaur",@PleaseBeGneiss
119,,[],False,489,"Oh, I see you like bad girls, I say as I lick the cheese off my Dorito and place it back in the bag.",@momjeansplease
1681,49,[],False,17446,"Dad: it’s time we had “the talk”

Me: oh, I already know about dancing the forbidden polka 

Dad: the what? 

Me: ya know, boppin’ squiddles??

Dad: excuse me  

Me: slaying the vadragon??

Dad: what?!?

Me: disappointing the wife 

Dad: oh sex, right",@Megatronic13
81,,[],False,435,"Him: how are you doing?

Me, worried that I talk about myself too much: THERE IS A TYPE OF ANT THAT CAN DETONATE ITS OWN HEAD AS A FINAL ACT IN BATTLE",@Jamberee13
252,6,[],False,1067,"Her: so you’re rich?!

Me: yeah ᶦⁿ ˢᵖᶦʳᶦᵗ

Her: what?

Me: I’m loaded ʷᶦᵗʰ ᵈᵉᵇᵗ

Her: huh?

Me: I owe ˢᵒ ᵐᵘᶜʰ ᵐᵒⁿᵉʸ ah dammit i said the quiet part loud",@FU_TangClan
10,,[],False,45,Featuring @sarahclazarus @Kristen_Arnett @becca_oneal @1AbbyRoad @natvanlis @SamanthaaaReece @JamilahLemieux @ohJuliatweets @jourdayen @annamerlan @Ciaraioch @Pork_Chop_Hair @prufrockluvsong @andlikelaura @ayoedebiri @oliviacraighead @lizzzzzielogan & more,@someecards
417,33,[],False,3042,"I always wondered how Bowser could afford so many castles. Then I did some research. You see, he had dozens of shell corporations and",@Home_Halfway
61,,[],False,211,"Hostage negotiator: as a show of good faith we want you to *covers phone*- you sure? 

God: go on

Hostage Negotiator: sacrifice your son",@steeve_again
