tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
1480,69,[],False,14100,"Vibrators:
-know how to please
-comes with clear instructions
-doesnt tell me to smile
-wont make me listen to their slam poetry

Men:
-sometimes funny
-has never died inside of me",@crownjuul
9,,[],False,39,Did you know if you close your eyes and say bloody mary loudly three times the bartender will spit in your drink,@crownjuul
4,,[],False,29,The best part about being a woman is definitely all the free massages,@crownjuul
5,,[],False,93,"Employee 1: im thinking for our new travel mug we'll use a lid
Employee 2 [cumming]: i have a better idea",@crownjuul
3,,[],False,30,Tired of seeing all the tweets about the abortion bill but cant mute the word abortion for fear of missing out on a good abortion joke,@crownjuul
4,,[],False,28,Joe Biden is running. He’s running!! Someone catch him,@watermeIIen
6,,[],False,25,4:19 is the longest minute of the day,@cricketcg
478,11,[],False,6513,"It’s devastating that the Notre Dame burned down and not the Colosseum, because I went there once and would really like to tell you all about it",@mossperricone
3,,[],False,124,When i was three my parents said we were going to visit grandma and it wasnt until we got to her gravestone that they informed me she was dead,@crownjuul
158,,[],False,484,"Anti vaxxers: you can’t just go around vaccinating people without their consent

Flat earthers: Across. You can’t just go across.",@NrouteHQ
6931,48,[],https://pbs.twimg.com/media/D3oO7m0XkAIgHmX.jpg,50044,good morning,@aaronwbu
24,,[],False,151,"Every woman i know has at some point faked an orgasm and every man i know swears women have never faked one with them, guys something doesnt add up",@crownjuul
3,,[],False,24,Nice to meatball,@crownjuul
714,9,[],False,3365,S(he)'s bro(was a sk8er boi)ken,@crownjuul
1,,[],False,19,"First steve irwin, now nipsey hussle?",@crownjuul
17801,81,[],False,113986,"First person to eat a banana: this is not good

First person to peel a banana: dude guess what",@PleaseBeGneiss
21,,[],False,163,A group of anti-vax crows is called a murder murder,@crownjuul
25,,[],False,149,I have baby fever too except its the one where i wake up in cold sweat and crippling nausea at the prospect of having a kid,@crownjuul
5,,[],False,113,Porn without headphones is truly the height of luxury,@crownjuul
563,38,[],False,6632,I thought you guys were cool but none of you fucking told me that five of George Foreman’s sons are named George Foreman.,@MattPostSaysHi
4,,[],False,42,"With every homophobic chick fil a scandal that comes out, lets not forget the real heroes of the cause: the people who didnt think their food was good in the first place",@crownjuul
5,,[],False,61,I was wrong about the 2016 election and I’ve blocked everyone who’s ever disagreed with me but here’s a very confident tweet storm about Beto O’Rourke (1/10),@calebsynan
0,,[],False,13,Its finals week this is all i got for you guys,@crownjuul
2,,[],False,36,"When the Chinese Communist Party won the revolution in 1949 the Nationalist Party was probably all like ""GuominDANG""",@crownjuul
6,,[],False,29,I'm v interested in ethical nonmonogamy but I'm not that kind of girl (ethical).,@Chreepowpow
67,,[],False,436,jesus: [to tens of thousands of followers] good news guys im now selling tshirts,@drankturpentine
2,,[],False,69,Pro tip: trace the alphabet with your tongue when you're going down on a lady so she knows you can read,@crownjuul
14,,[],False,68,The best part about cremating a smoker is half the job's already done for you,@crownjuul
9,,[],https://pbs.twimg.com/media/D1asadHUcAAnE5M.jpg,72,"Pornhub algorithm, you've done it again",@crownjuul
86,,[],False,989,You ever get so high that you realize weed is bad for you,@joetullar123456
8,,[],False,58,Dating men is an extreme sport,@crownjuul
614,,[],False,876,I bet the worst part of dying a virgin is knowing you are going to get fucked by a terrorist.,@bdbdleeroybrown
36786,333,[],False,165404,Having a kid sounds stressful like how do you make sure they have just enough childhood trauma that they’ll turn out funny,@MichaelaOkla
2,,[],False,16,Nick Jonas said penis on national television,@crownjuul
1,,[],False,25,How long do I have to keep pretending I wouldn't still fuck Chris Pratt,@crownjuul
15,,[],False,139,"Wow I can’t believe people would pay to see a porn star from the funniest news story of all time. They should book me, a 27 year old with little life experience who makes people at bars want to leave",@robbiegoodwin
21,,[],False,917,Frankie is nOT IN THE DAMN BAND,@crownjuul
22,1,[],False,1026,"if you quoted this tweet saying ""I'm Frankie"" you are very funny and very clever",@crownjuul
46728,132,[],False,180248,I am the Kevin Jonas in this boy band called life,@crownjuul
11,,[],https://pbs.twimg.com/media/D0pHF_rVYAIDJaz.jpg,104,"This is a real shot in the new Jonas Brothers music video and like, no one is talking about it",@crownjuul
68206,582,[],False,376251,the Jonas brothers are BACK and they’ve had SEX,@nicolaang
