tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
40,,[],False,186,When the moon hits your eye like an infinity sign that’s a-science,@curlycomedy
0,,[],False,3,"At one point in time it was possible for The Good Wife, The Good Fight, and The Good Place to have a crossover episode.",@curlycomedy
294,173,[],https://pbs.twimg.com/media/D9rYlHFXoAAlalJ.jpg,2241,Shoot me into the sun,@lizzieohreally
21445,3283,[],False,64996,"When a powerful entity is trying to grow a system of human rights abuse (which is what this is) it’s on ALL of us, from smallest to biggest, to throw sand in the gears and stop it.

We cannot be compliant with child abuse. These judges are astounded at the argument for it ",@AOC
4,,[],False,13,"Check out HEEL, a short I'm supporting on @seedandspark by @HotYoungBriley @HEELZiggler that I think you'd like, too!",@curlycomedy
9,,[],False,153,"Honestly, the worst part of being robbed was that they took my notebook, but ripped out all the jokes and left them.

They wanted everything, except my jokes.

I bombed while getting robbed.",@TheRyanDillon
1,,[],False,1,This tweet deserves to win all the awards.,@indigo_15
208,67,[],False,4380,Never do you have more belongings than on moving day.,@ashleyn1cole
0,,['#curlycomedymilestones'],https://pbs.twimg.com/media/D9t4yObXUAAEDXB.jpg,21,This is the closest I can get my @Bitmoji - and I have been trying for YEARS. Team? I need more options. Receipts: #curlycomedymilestones,@curlycomedy
3,,[],False,23,Fergalicious definition drive your sister crazy,@curlycomedy
35,,[],False,104,"Bergalicious definition make that ice go floato
They want my waters, so they try some spotters from their boato
they can't see me when they speedy
I ain't easy but I'm freezy
I got reasons why I sink em
Ships just come and go like seasons
Bergalicious 

Titanic: It's not hot hot",@Torgo_phylum
1,,[],False,5,More like this please,@bonniemcfarlane
8,,[],False,31,"When MERCURY is in Retrograde, VENUS Williams will promote EARTH Day, and Bruno MARS will collaborate with the NEPTUNEs...",@curlycomedy
0,,[],https://pbs.twimg.com/media/D9twMbvWwAEl-tq.jpg,15,"Without Googling, I will venture to guess that this actress from Murder She Wrote was also the wealthy guest Swayze turns down in Dirty Dancing who I vaguely recall was also the choreographer.",@curlycomedy
0,,[],False,23,SAD,@curlycomedy
807,75,[],False,5231,"anyone: calm down
me:",@alyssalimp
194,7,[],False,3475,the fact that high waisted jeans are cool among middle schoolers blows my mind imagine entering high school without having seen every one of your classmates butt cracks WILD,@bytaylorcox
4,,[],False,72,When a photobomb improves the picture 1000%,@curlycomedy
38,,[],False,366,don’t judge me until you’ve mall-walked a mile in my shoes alongside a group of heart healthy seniors we meet outside kitchen caboodle at 6:15am wednesdays and fridays,@House_Feminist
31,,[],False,192,i got 99 problems but houston only wants to hear about one of them.,@KimmyMonte
34,,[],False,166,I like my eggs like I like my cumberbatches,@LlamaInaTux
