tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
32,,[],False,511,"My name is Joss 
I was born to be alone 
My age is so bad 
I like to know how much I can do to help you guys out",@joss
382,72,['#LetsGoToWork'],False,3300,"This is why none of them came to my brunch, isn’t it? Flu season my ass... I CAN’T STAY MAD THEY TOO SESSY #LetsGoToWork",@joss
18998,4036,[],False,72704,I think Democrats are vastly underestimating the ways a corrupt and lawless president can use the powers of the presidency itself to cheat in an election.,@chrislhayes
159,53,"['#NerdyFunnyScientist', '#WhatsGonnaHappentoTheseKids']",False,1106,"at LAST! The greatest story seldom told! #NerdyFunnyScientist #WhatsGonnaHappentoTheseKids
@feliciaday @NathanFillion @ActuallyNPH @MoTancharoen @jedwhedon",@joss
187,68,[],False,2825,"I love this man and that work and yes, this RT is straight-up a brag @AnthonySHead",@joss
33,,['#AbortionIsHealthcare'],False,274,"The least we can do. (And if you rack up enough “leasts”, you level up to the LESS we can do - and from there to the actual amount we can do to protect human rights! p sweet deal imho) #AbortionIsHealthcare",@joss
22,,['#OneVoteataTime'],False,104,"Pay attention to Sarah Ullman (aka @thesillysully). She combines media savvy, political vision & a lifelong passion to take gun violence out of our culture. #OneVoteataTime has & will make real change for the better. Follow, donate, volunteer, RT - and watch good done well.",@joss
49,,[],False,737,he’s still cool,@joss
39,,[],https://pbs.twimg.com/media/D7sQ6yyW0AAl3MO.jpg,263,Oh I missed part of the title my bad https://twitter.com/hii_nal/status/1132915883830009856 …,@joss
134,32,"['#Warren2020', '#DoesntEvenHaveToSolveMyLoveLife']",False,1770,"Elizabeth Warren was doing highly paid legal work while teaching at Ivy League universities. I’ve tried to keep an open mind, but you can’t ignore something like that. 

Where do I volunteer?

#Warren2020 

@ewarren 
#DoesntEvenHaveToSolveMyLoveLife",@joss
11017,1638,[],False,28465,"Voting makes a difference. No matter how bored you are over Brexit, go out and vote. Any vote for Farage on Thursday won’t be seen by him as a protest but as support for his brand of far-right U.K. politics. The more votes against him, the greater the chance of stopping him.",@Aiannucci
1160,211,[],False,9423,"Okay, I finally watched FLEABAG, it was fine I guess but I have an issue, minor spoilers - at the end, how do I watch anything else or make anything else or live my life or breathe or feel or care or walk or fly did I fly am I here is it me do I live though this now what how but",@joss
640,16,[],https://pbs.twimg.com/media/D7DLDuWWsAExcTU.jpg,2833,,@meakoopa
144,,[],False,159,"hi guys! i have a big favor to ask, which is very hard for me to do. please check out my GoFundMe page and help if you’re able/share if you can.
https://www.gofundme.com/please-help-pony&rcid=r01-155820120917-20c317369a9b45f8&pc=ot_co_campmgmt_m …",@tigersgoroooar
17,,[],False,305,More like REpulsive need AM I RIGHT am I right am I right am I right am I right am I right am I right am I right am I right am,@joss
1271,46,[],False,9254,while the other democratic candidates are doing nothing but talking elizabeth warren is out there sneaking into everybody's homes and turning off motion smoothing,@andylevy
25685,2339,[],False,137886,"When I was growing up, people got abortions. Desperate women turned to back alley butchers or even tried the procedure on their own. Some were lucky, but others weren't. They all went through hell. Access to safe, legal abortion is a constitutional RIGHT. Full stop.",@ewarren
714,94,[],False,4298,Again. Misogyny is the reptilian brain stem of right wing ideology. It is not a bug. It is the feature. Wake. The. Fuck. Up.,@WhitfordBradley
25,,['#DarwynCooke'],https://pbs.twimg.com/media/D6jn8jAW0AA81E-.jpg,133,3 years. RIP Darwyn #DarwynCooke @Nicest_Girl_Evr,@JohnCassaday
33,,[],False,302,MAN I hope no one saw me snoopy dance just now @CobieSmulders,@joss
