tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
1180,38,[],False,9453,Honey I shrunk my penis,@notviking
272,12,[],False,2159,freaks and geeks season 2,@notviking
257,52,[],False,2691,dr pepper killed my wife,@notviking
1443,19,[],https://pbs.twimg.com/media/D9rJ8ewXkAE8LP4.jpg,13701,what’s going on with this restaurant’s menu,@jbfan911
13,,[],False,195,gn,@notviking
6,,[],https://pbs.twimg.com/media/D9vCiaRUIAAlYI3.jpg,638,haha!,@notviking
98,6,[],False,1352,yeah i been drinking.... drinking baja blast!!! haha,@notviking
14,16,[],https://pbs.twimg.com/media/D9uph47VUAQucP4.jpg,1178,Stupid fucking idiot and proud!!!!!,@andrehuh
339,8,[],False,10947,just ran into an old college buddy i haven’t talked to in a year in a bar bathroom and i said “hey man long time no pee” and he didn’t laugh and now i remember why i haven’t talked to him in a year,@notviking
137,8,[],False,1952,acting isn’t even that hard you just read words on a page lmao,@notviking
631,14,[],False,5093,just found out nsync broke up,@notviking
252,6,[],False,3460,"freaks and                  hitler
    geeks

                        

                  cancelled",@notviking
6076,116,[],False,34002,"""Toy Story 4"" stars Keanu Reeves, Tom Hanks and Tim Allen, aka the world's easiest game of Fuck Marry Kill",@ShadowTodd
200,13,[],https://pbs.twimg.com/media/D9pQDYAUEAE5tFU.jpg,3339,asking for a vodka cran and getting a receipt for $17,@notviking
2462,14,[],False,14131,"let’s have some fun this beat is sick

i wanna vaccinate your fucking kids",@notviking
487,19,[],False,3925,confession: i did not get parent permission before going online,@notviking
43730,219,[],False,178855,might fuck around and pronounce the p in raspberry,@notviking
542,14,[],False,6505,"billie eilish: i’m the bad guy

cop: [putting her into the back of his squad car] yeah we know you just ran over five kids with your car",@notviking
530,10,[],False,4691,mixed a bang energy drink with mcdonald’s sprite and my eyes turned black and i started uniting the nomadic tribes of northeast asia and founded the mongol empire,@notviking
736,328,[],False,3550,"LIL PHAG - resERECTION 

1. IHATEMETOO (ft @dannygonzalez, @captainkalvis & Felony Steve)
2. CHARLIE SHEEN (ft @KyleMassey)
3. GAYNSAD (ft @ka5sh & @Whitey1864)
4. ERRYBODYGAY (ft @LILBTHEBASEDGOD & @bahablastlegend)

FIRST WEEK SALES GO TO @LALGBTCenter",@elijahdaniel
2222,19,[],False,20100,"zookeeper: over here are the penguins

me: ice chickens

zookeeper: and over here are the giraffes

me: long neck horses

zookeeper: and finally over here are the hippos

me: [cocking gun] danger pigs that killed my dad",@notviking
738,18,[],False,8502,dave i can GUARANTEE that no woman is getting an abortion to impress your shitty ass lmao,@notviking
1891,191,[],False,11564,okay what the FUCK is indiana,@notviking
330,13,[],https://pbs.twimg.com/media/D9jGjI4UYAArgIi.jpg,4947,me knowing darn well that statistically relationships with men lower women’s life expectancies but still falling for them anyways,@girIpowertbh
5,9,[],False,1129,they sent me this with no context and without telling me they were doing it lmaooooo i’m not even getting paid for this do i ask for a check,@notviking
8,15,[],False,1041,in case the glamorous box wasn’t enough it’s also a TV SCREEN,@notviking
41,22,[],https://pbs.twimg.com/media/D9i4ZK6VUAA9Z6f.jpg,1616,HAHAHAHA @MOUNTAINDEW @CIRCLEKSTORES WTF IS THIS,@notviking
127,8,[],https://pbs.twimg.com/media/D9iOSHMU8AEv9dD.jpg,1646,together we can stop him,@notviking
48,22,[],https://pbs.twimg.com/media/D9haegRW4AA64nU.jpg,1524,wanted to do a photoshoot in my favorite shirt,@im_your_density
2127,25,[],False,35383,Dr. Pepsi is a woman,@notviking
4178,2612,[],https://pbs.twimg.com/media/D9cyGeoU8AASu22.jpg,34561,body positivity thread!!! drop your pics i’ll start,@notviking
6179,98,[],False,43531,EpiPen is short for Epic Penis,@notviking
886,51,[],False,6302,just got awested for vehicuwar manswaughter,@notviking
2959,53,[],False,53939,i don’t know why the nurse always tells me my blood pressure as if I understand it i’m not a doctor i don’t know what “260/40” or “hypertensive crisis” means,@gracearnprie
1161,24,[],False,11510,"cough drops should really be called anti-cough drops. if you showed me a product called ""cough drops"" i would automatically assume that they give you a cough when you have none. anyway, your son's ca- [dropping my stethoscope] whoops, your son's cancer is back",@notviking
2696,85,[],False,36024,just found out that before hitler committed suicide he wanted to make sure the cyanide capsules would work so he fed them to his dog idk y’all i’m starting to think we should cancel this guy,@notviking
4477,33,[],False,41302,i want a girl with a short skirt and a looooooooooooooooong list of vaccinations,@notviking
864,19,[],False,5983,zoinks scoob i think we just killed jonbenet ramsey,@notviking
9961,121,[],False,72990,white women to the waiter when their dressing didn’t come on the side,@notviking
66521,4935,[],https://pbs.twimg.com/media/D9SfO3GWwAEBVrt.jpg,301443,"ahead of pride month Trump’s administration put a ban on embassy’s flying pride flags. 

so as of today, I am now the owner of Hell, Michigan. I bought the whole town. 

And my first act as owner, I have renamed my town to Gay Hell, MI. 

The only flags allowed to fly are pride.",@elijahdaniel
