tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
381,34,[],False,1752,Bearded Dragon running on hind legs,@41Strange
230,,[],False,649,"""Are you a boy or a girl?""

[Ok so uh... if we go to this corner and leap, uh, crouch-jump at this angle, uh, we can skip picking s gender & that's going to save us a lot of time]",@SekoPanda
6,,[],https://pbs.twimg.com/media/D9yUqD0UcAIaSl6.jpg,5,More examples of commissions below! Please hit me up if you’d like a picture of a pet! https://twitter.com/crapioca/status/1124440574805733376 …,@crapioca
27,,[],https://pbs.twimg.com/media/D5rQvJbUYAAvrGQ.jpg,27,"Well so now that I’m unemployed, im going to do a thing I never thought I would do, and start doing commissions. Send me a picture of your pet and I will send you a framed collage w them, a bunch of flowers, and a watercolor background, like so:",@crapioca
3964,66,"['#GoodOmens', '#ineffablehusbands']",https://pbs.twimg.com/media/D85FWVDXoAANIKs.jpg,8909,"[#GoodOmens] we’re having some communication issues, we’ll be back shortly #ineffablehusbands",@lunatuica
2734,25,[],https://pbs.twimg.com/media/DOzonHmV4AEQbJN.jpg,8814,,@breakerpulse
3,,[],https://pbs.twimg.com/media/D9wAniWWkAA-S5i.png,27,"new hobby: reading people tweeting about ""my pitbull"" as talking about Mr. Worldwide",@quinn_town
7,,[],https://pbs.twimg.com/media/D9tZh6eWwAEL-97.jpg,79,spring in hieron,@keeshkid
0,,[],https://pbs.twimg.com/media/D9to2XFXsAEwiy4.jpg,3,Allow me to introduce you to the family,@quinn_town
0,,[],https://pbs.twimg.com/media/D9tnf3HXoAA-H6t.jpg,9,I love them and I will protect them,@quinn_town
6218,103,[],False,11231,Telescopes probably use mirrors which means there is absolutely no way to know how many vampires there are in space.,@thenatewolf
72,,[],https://pbs.twimg.com/media/D9s51GCX4AAnsmV.jpg,289,Jord,@Rigbot
35187,224,[],https://pbs.twimg.com/media/D9Il2DfX4AE-A6k.jpg,139661,take a minute to appreciate what I just saw on the road.,@TheCrewDog96
6,,[],https://pbs.twimg.com/media/D9tEMSpWwAAJTaq.jpg,25,Pokefusion always makes me laugh,@Zeke_Heart
2902,16,[],https://pbs.twimg.com/media/D9rCGi_XkAESQNM.jpg,7274,,@DantePD
1,,[],False,10,Idk who needs to hear this but Cold-Bokeh-Eagle-Partridge-Shoulder-Ballast. Confirm agent activation.,@quinn_town
23,,"['#EasternQuoll', '#Winter', '#Solstice', '#Tasmania', '#Sanctuary']",https://pbs.twimg.com/media/D9qSR41VAAA3YUS.jpg,81,"Walter the Eastern Quoll isn't sure what all the fuss is about for the winter solstice today! ...But the staff at Bonorong are looking forward to the longer daylight hours, how about you?!  Photo thanks to Grant Angus #EasternQuoll #Winter #Solstice #Tasmania #Sanctuary",@BonorongTAS
4350,163,[],https://pbs.twimg.com/media/D9nYQLKUEAAUZLJ.jpg,22661,"thank you ikea for this extremely powerful $15,000 couch",@rudermensch
27,,[],https://pbs.twimg.com/media/D9pvt75W4AAqI-5.png,50,"As anxieties about deep fake propaganda rise, I spoke to the Russian creator of one of the most popular pieces of deep fake creation software, as well as the scientists working to inoculate the internet against fake footage for @guardianweekend: https://www.theguardian.com/technology/ng-interactive/2019/jun/22/the-rise-of-the-deepfake-and-the-threat-to-democracy …",@SimonParkin
2,,[],False,27,Why do some books' plot blurbs do that thing where they describe a romance and then obfuscate the gender of one of the partners? Just let me know if it's het or not so I can move on.,@benjanun_s
