tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
4461,47,[],False,28716,Today is officially spring which is a big day for those of us waiting to see if we have seasonal depression or depression depression.,@ronnui_
13,,[],False,34,New app idea it's called Scratchr and it's for reciprocating back scratches.,@ronnui_
2,,[],False,8,lol @facebook wtf are you doing here go back to your own platform bro,@ronnui_
5,,[],False,48,POV you’re my phone i rescued from the toilet,@mrtiredeyes
73,,[],False,186,was just thinking about how someday nostalgia is going to trick these kids into thinking this was the best time of their lives,@FredTaming
10,,[],False,90,".          Bruce Springsteen

To Run                        In The USA

                        

                      Born",@ronnui_
41,,[],False,177,"Friend: try this. It tastes terrible 

Me, who dislikes myself: ok",@ObscureGent
453,327,[],False,5623,"everyone please share something that bothered u about a movie that isn’t talked about enough.

i’ll go first.

naming the ant in bugs life “Flick” is super insensitive to ants that have died from flicking. it’s like if they named bambi “Shotgun”",@jazz_inmypants
79,,[],False,255,These tourist deaths in the Dominican Republic are the closest thing we’ve had to a real-life Scooby Doo mystery in years.,@DrakeGatsby
12,,[],False,54,"[being chased by a murderer]

Me: The way you're holding the knife is wrong. Professional chefs hold it just past the handle.",@ronnui_
18,,[],False,150,Who up and want to tell me their fav pasta shape?,@ronnui_
234,16,[],https://pbs.twimg.com/media/D9okbtXVUAAowg8.jpg,1870,"""let us know""",@KylePlantEmoji
92,,[],False,614,should I feel intense shame and embarrassment about everything I've ever done or just most of the things,@ellorysmith
3,,[],False,25,"“Want to buy food from a park?”

No, that is disgusting 

“Want to buy food from a park... that was cooked in a truck?”

oh HELL yes sign me up here’s $16 for a single nacho",@MNateShyamalan
2106,64,[],False,8044,"Shoot for the moon. If you miss, reload and fire again. The moon must be stopped at all costs.",@SirEviscerate
309,14,[],https://pbs.twimg.com/media/D9XG937XoAIpXQ6.jpg,1816,When you die on the toilet but you have 8 more lives,@JeffisTallguy
55,,[],False,233,"Having a cold one with the boys, but the boys are my closest companions exhaustion and self-doubt.",@KielyHealey
1,,[],https://pbs.twimg.com/media/D9mtybdUIAEEPIg.jpg,12,"Obscure For A Penny Zero T2

Elite 8: Picture Round

@ronnui_ Vs @Jamberee13 

https://twitter.com/ronnui_/status/1141105518540464130 …
https://twitter.com/Jamberee13/status/1141069629923741696 …",@TheObscureGents
211,,[],False,825,The salmonella/romaine outbreak of 2018 was so scary that I haven’t eaten lettuce since 2006,@DrakeGatsby
47,,[],False,148,"To all the day mode haters, have you considered that maybe night mode is too spooky for some of us? Check your privilege.",@ronnui_
57,,[],False,189,"[confession]

priest: how long since-

me: where do I put my dick?",@DadZZZasleep
1,,[],False,7,"Pink: Raise your glass if you are wrong, in all the right ways!

Me [drunk as hell in my “Garfield is anime” t shirt]: i don’t recall asking for your permission",@MNateShyamalan
10,,[],https://pbs.twimg.com/media/D9mBU0gXoAEWzEz.jpg,141,"i gave u a 12-year headstart, twitter",@jazz_onmycouch
476,13,[],False,2092,"Me: I’d kill for a donut

Krispy Kreme assistant: please use cash",@FU_TangClan
327,18,[],False,3375,My skincare regimen is simple: I cry every single morning and drink one glass of water a day. The results? bad!,@alyssalimp
10068,191,[],https://pbs.twimg.com/media/D9ltDYAXoAEEEJ3.jpg,81011,"Using little plastic dinosaurs and some fishline, I made a scene for my wife's car backup camera.

Now we wait.",@stevevsninjas
1868,104,[],False,24487,someone please invent a peanut butter jar with a cap on each side so i can just flip it over instead of reaching for the bottom. i don’t even care about the patent. don’t pay me. just make this a thing.,@jazz_inmypants
95,,[],https://pbs.twimg.com/media/D9hIBvjUIAE_79O.jpg,621,Will someone who is good at Latin tell me what animal this is?,@ronnui_
1,,[],False,9,This is what all men's apartments look like,@BrosefWtheMosef
213,3,[],False,1581,"boomers: stop complaining you just need to pull yourself up by your bootstraps

millenials: we can't afford boots we can barely afford to stay alive

boomers: WHY ARE MILLENIALS KILLING THE BOOTSTRAP INDUSTRY",@tiemoose
51,,[],https://pbs.twimg.com/media/D9d7ohdXkAQfEyX.jpg,208,Mystery solved see you in jail you sick fuck,@ronnui_
48,,[],False,195,"me: i like your haircut. did you know the bees are dying?

you: weird segue

me: it’s called a segway [zooms away]",@mostlysharks
200,,[],False,838,"Me: *fighting back tears, but physically, and with nunchucks*",@BoogTweets
174,,[],False,734,"Me: *sipping* Daddy needs his capri sun.

Friend: That's a box of wine.",@SimplySnaccbar
45,,[],https://pbs.twimg.com/media/D9gtOvIUYAEjsW7.jpg,361,Accidentally took a melatonin with my coffee and this is what the world looks like,@ronnui_
1626,72,[],False,8891,"Wife: Why can’t you just say phrases correctly?! 

Me: Well aren’t you a ray of sunscreen.",@DrakeGatsby
3,,[],False,32,I only eat what I need to survive and it turns out my body needed 1/4 a bag of chocolate chips at 11:30pm I can't argue with my instincts,@ronnui_
45412,207,[],False,231506,"you don’t get to decide when you move onto the next phase of your life, lorde does",@meghan_jaya
36,,[],False,110,"[job interview]

me: i always give 100%

principal: we can’t have that",@BraandoCommando
