tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
11381,173,[],False,118964,"CHASE: Hi we are calling to check for fraud you spent $40 at 7/11
ME: Yea
CHASE: Then you went to Taco Bell at 3am
ME: Are these questions",@spies_please
0,,[],False,18,Can’t understand zombie apocalypse survival media. How is everyone not just like “people are eating people we can’t watch tv or go to Taco Bell anymore time to kill our selves”,@spies_please
8,,[],https://pbs.twimg.com/media/D9sm3CbX4AEbnlS.jpg,96,I know I tweet about Pokémon blue a lot but remember this bitch who was willing to tell some strange child who just walked into her home that her daughter is self centered without being prompted,@spies_please
3,,[],False,70,Sucks that we really went with “selfie”,@spies_please
1,,[],False,29,just remembered I used to go out on weekends lol why,@spies_please
13,,[],https://pbs.twimg.com/media/DiRTa-GVMAAtZr2.jpg,195,I... what are the metrics for this,@spies_please
1,,[],False,51,Becoming the oldest person alive would suck because you couldn’t even rub your victory in the faces of the people you beat to get the title,@spies_please
73,,['#WhatDoYouThink'],https://pbs.twimg.com/media/D9h_P0DWwAI7MaE.jpg,733,‘Hunger Games’ Prequel Novel Coming In 2020 https://trib.al/WwR2E6K  #WhatDoYouThink?,@TheOnion
9,,[],False,133,When the killer is a woman,@spies_please
4,,[],False,18,Floop is a madman help us save us,@MatthewPCrowley
15,,[],False,162,I think I'll know that things in the industry have truly become equal when a WOMAN sits atop a crescent moon and drops a fishing line into the Dreamworks logo,@spies_please
1,,[],https://pbs.twimg.com/media/D9dan6BXkAElvax.jpg,54,I freed him from the machine,@spies_please
114,,[],https://pbs.twimg.com/media/D1t7ZNiW0AAkqmk.jpg,485,,@spies_please
1,,[],https://pbs.twimg.com/media/D9YLcHYW4AcYE5L.jpg,56,"Please, my children. They are very obsolete",@spies_please
1,,[],https://pbs.twimg.com/media/D9XqazQXsAAlF9y.jpg,26,Pop culture,@spies_please
5,,[],False,56,Innocent until proven canceled,@spies_please
6,,[],https://pbs.twimg.com/media/D7Q5H24W0AAzrOK.jpg,99,Thinking about surprising my husband with this for Dinomite Day,@spies_please
36,,['#WhatDoYouThink'],https://pbs.twimg.com/media/D9Sl7P0XkAIhmc4.jpg,373,Japan Bans Flying Drones While Drunk https://trib.al/wv2V8ZV  #WhatDoYouThink?,@TheOnion
0,,[],https://pbs.twimg.com/media/D9SXeEPW4AEeslc.jpg,28,Me tryna find something in the Trader Joe's frozen section while three other people's baskets are pressing into my back,@spies_please
4,,[],False,92,"ME: eh I’m not that into Vegas because I don’t gamble

ALSO ME: -spends $35 on a claw machine because I moved the stuffed Donkey Kong’s leg up a little last time and I know I can get it this time-",@spies_please
0,,[],False,23,"Happy Father’s Day dad, I guess",@spies_please
