tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
576,13,[],False,1603,[answering my shoe like a phone] hold on i can’t hear you let me put you on sneaker,@squirl_haggard
10,,[],False,55,"taco bell employee: three forty is your change 
arby’s employee: sir, this is a wendy’s",@KandyKoehn
8158,514,[],https://pbs.twimg.com/media/D9d8dx4WwAA2w_v.jpg,46919,What..... why??????????,@dumbthotdog
16,,[],False,74,the selection of dipping sauces at this wake is exceptional,@KandyKoehn
19717,199,[],https://pbs.twimg.com/media/D8-T22xWkAIUhXX.jpg,93750,this fucked me up...,@_ericcurtin
1527,43,[],False,10479,I'm sick of men's 3-in-1 body wash shampoo and conditioner. Throw toothpaste in there.,@ComradTwitty
17735,279,[],False,108589,is this the intro to john mulaney’s next netflix special,@TeahLhompson
68479,269,[],False,169392,鶏で黄身と白身を分けたかった,@rgb_GENESIS
90,,[],False,899,"Nobody:

Sports Center:

°•°  | °•°",@KylePlantEmoji
0,,[],False,5,good evening my tits are ON FIRE,@squirl_haggard
8803,24,[],https://pbs.twimg.com/media/D8YPpvfXUAA1bNt.jpg,51954,me at the school field trip to the zoo whispering “I’m sorry” to the dolphins,@molly7anne
4,,[],False,28,Why Stop At Truck Nuts? Introducing - The All-New Truck Schlong.,@ComradTwitty
16,,[],False,158,They need to rename hand sanitiser “dick stinger”,@david8hughes
35,,[],False,246,i woke up in a certified pre-owned bugatti,@squirl_haggard
17,,[],False,119,when two bananas from the same bunch are fuckin- this is know as an alabamana,@squirl_haggard
20496,145,[],False,78645,Facts I def fuck better when I’m high,@stoned2thabones
9,,[],False,85,[to my cheese wheel friend after he just did me a huge favor] gouda man,@squirl_haggard
0,,[],False,8,ran out of mayonnaise again,@squirl_haggard
10,,[],False,28,just once i’d like to open the shower curtain to find hundreds of inch tall versions of myself scrambling around in the tub,@KandyKoehn
4,,[],False,49,"[in an alternate universe where grapes are really big]

me: yo what if grapes were really big",@squirl_haggard
2,,[],False,10,how do the cars fuck,@squirl_haggard
13049,249,[],False,111977,hoping all nursing students ace their finals so they can all graduate and shut up,@CaucasianJames
5,,[],False,20,Sex is cancelled until we stop global warming,@bohnithy
2809,53,[],False,26435,proposing in a rvca trucker hat is a vibe,@mineifiwildout
1,,[],False,4,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,@squirl_haggard
117164,1228,[],False,308767,"the dispenser

he scream",@POSIndustries
73,,[],False,716,"[bee movie except it's about cum]

so, ya like jizz?",@Kevaclysm
155,,[],False,858,[holds ear to ground] a tiddy was here,@Kevaclysm
359,27,[],False,2914,"[Jerry Seinfeld writing a joke about cum]

Cum. Cum. What is this, cum? I'm already here! How can I cum if i'm already here. If anything they should call it go! I mean, what happens after you cum? YOU GO! I came and now i'm gonna go and then i'm gonna go.",@Kevaclysm
352,24,[],False,4071,"My best friends bf maintains that the McDonald's secret menu allows you to order anything ""All balled up"" and they'll just hand it to you all balled up",@Kevaclysm
2765,41,[],False,10273,"Me: I'm 29, I'm not that old! I have my whole life ahead of me.

Me around a 20 year old: I am the grim spectre of death. I have seen empires rise and fall like the endless shifting dunes. Time has no meaning.",@Kevaclysm
2499,26,[],False,12462,"[first time doing standup]

ME: *struggling to climb onto the stage* isn't it wild how lasagna be cake",@Kevaclysm
4487,105,[],False,28842,"[jerking off a baguette]

i'm gonna crumb",@Kevaclysm
1204,10,[],False,6362,Ain’t clitoris that Nickelodeon show Ariana Grande was on?,@BeefedUpStud
2,,[],False,11,"ladies, next time he asks u to talk dirty just say “crunchatize me, cap’n” softly in his ear. lmk the results",@kmiglewski
2143,35,[],False,18174,Master race my fucking ass you could take down any KKK assembly with lactose and a packet of taco bell diablo hot sauce,@molly7anne
0,,[],https://pbs.twimg.com/media/D36P2kdW4AI8ZqO.jpg,10,.. just saying,@squirl_haggard
1548,47,[],https://pbs.twimg.com/media/D3zuUOYW0AEU9ph.jpg,9414,how tf am I supposed to keep my man when there’s girls like this..,@dxxnya
781,20,[],https://pbs.twimg.com/media/D3tqqfCUwAArneL.jpg,14967,not just white girls with blonde hair....white girls with brown hair...ok diversity slay,@Rachel_Sennott
2,,[],False,6,only REAL water drinkers can tell the difference between water and piss,@squirl_haggard
