tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
16,,[],False,31,Studies show that when you share ur donations other people donate more. I don't have a lot of money but I just gave to RAICES which does direct action and advocacy for migrants at the border and I hope you can support them too!,@vaginadental
0,,[],https://pbs.twimg.com/media/D9ypO2EWwAAHABL.jpg,25,Hi boys,@vaginadental
0,,[],False,8,I just had a successful ipo for my tech company developing sharing economy powered blood and I'm going to celebrate by doing the poop donation medical procedure but with ayahuasca,@vaginadental
0,,[],False,11,I'm asking for a friend ofc. I would never do anything..... Communist,@vaginadental
0,,[],False,13,So how do u do tourism in Cuba since trump changed the rules again and u can't afford to fly to another country first,@vaginadental
0,,[],https://pbs.twimg.com/media/D9wiB8fW4AE3R0Y.jpg,62,OK but why do straight people hate each other,@vaginadental
1925,810,[],False,16476,RESPECT to all the females that follow me...  Ya’ll know you’re special ,@FINALLEVEL
936,7,[],False,4184,(eats exactly one apple) where is my health you wretched orb,@urbanfriendden
453,,"['#AdamsMorgan', '#DC']",https://pbs.twimg.com/media/D9tL6nEXkAAp5vF.jpg,212,"ALERT: we’re getting credible reports of immigrants being detained in #AdamsMorgan & other DC locations.

Call us if you see ICE activity. Undocumented folx, please see attached card for safety guidelines. 

#DC folx, please RT",@SanctuaryDMV
1,,[],False,23,It's weird how every person on 90 day fiance is simultaneously the dumbest person to ever live,@vaginadental
2,,[],False,31,This Molerat Lost His Dick in A Radiator Explosion So We 3D Printed Him A New One in A Brooklyn MakerLab,@vaginadental
1,,[],False,52,The last time I wore a princess skirt out of the house I felt so cute and pretty until a seagull at the beach stole my hotdog so I was standing on the boardwalk shouting at a bird,@vaginadental
34,,[],False,112,,@hostilemimosas
0,,[],False,12,This clout shit funny,@vaginadental
1,,[],False,17,"popping an oxy and logging on to tell '""""weird twitter'"""" posters that sex words and pixar references arent punchlines",@GhostsInUrKitch
1,,[],https://pbs.twimg.com/media/D9qN_BPXsAAooAV.png,1,,@mstrs_o
3,,[],False,52,College has changed a lot since the 80s. Back then the frat guys would sneak into ur bedroom and steal ur panties but now they pay for them on instagram,@vaginadental
538,6,[],False,3658,"me: how bad is it 

dr: nothing that can’t be fixed with some mild dietary restrictions and moderate exercise 

[later]

wife: what did the doctor say

me: linda....i’m dying",@TweetPotato314
324,13,[],False,1927,"interviewer: how does your Master's degree set u apart?

me: 

interviewer: 

me: more debt maybe",@clichedout
0,,[],False,16,Sorry I couldn't find a more pixelated version of this image,@vaginadental
