tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
3636,46,[],False,9213,"Arby's is good, no bird problem, very few bird in restaurant, Arby's, ""where there are not very many birds"" that's our new slogan",@weinerdog4life
131,,[],False,984,"Garfield and Odie are married and they fuck, jon arbuckle is their kid",@weinerdog4life
18,,[],False,174,Sleeping on the front porch because my wife walked in on me wiping with the toilet brush again,@weinerdog4life
116,,[],False,800,Everyone in my office is losing their shit cause I somehow downloaded a corn dog,@weinerdog4life
5,,[],https://pbs.twimg.com/media/D7F-98-X4AAxmkO.jpg,28,,@weinerdog4life
20,,[],False,121,Ben Shapiro is a type of pokémon,@weinerdog4life
705,104,[],https://pbs.twimg.com/media/D5kBWwgWwAAxlWW.jpg,4911,"I have some questions about Machop/Machoke

1. Where does the underwear come from? Does it just appear or do trainers have to buy some and help the Machoke put them on?

2. The underwear implies covering up a dick. Why does Machop grow a dick",@Fred_Delicious
809,10,[],False,1908,*flicks cigarette* I got kicked off the force because I handcuffed two gooses together,@weinerdog4life
29,,[],False,163,"Me: darling, I’d like to watch tv tonight is the wind blowing?

Wife: it doesn’t work like that you dumb bitch",@weinerdog4life
141,5,[],False,1075,"Boss: there are no dumb questions 

Me: do the carebears shit in toilets or one big pile?

Boss: wtf?",@weinerdog4life
352,13,[],False,2304,"Coworker: what’s in the egg?

Me, sitting on a large egg: I DONT FUCKING KNOW GARY",@weinerdog4life
61,3,[],False,1047,my wife *lowers sunglasses* who I am btw,@weinerdog4life
16,,[],False,238,Not to confuse everyone while we’re dealing with this ellohhell thing but karate horse was a girl,@weinerdog4life
25,,[],False,607,"me to me: what if the wife doesn’t even exist 

my kids: it’s 3 o’clock can we have breakfast",@70Ceeks
192,7,[],False,2035,wish I could go back to 2014 and warn everyone about 9/11,@weinerdog4life
27,,[],False,253,Whosbeckystan,@weinerdog4life
1841,54,[],False,11151,whales can go sideways and shit,@awhalefact
655,23,[],False,1386,A romantic thing you can do for your wife is try to get a raccoon to come in your house,@weinerdog4life
171,,[],False,713,"Girl: do you have protection?

Me: I have a bow and arrow",@weinerdog4life
26751,524,[],False,38084,Flamingos are fucking stupid,@meetflamingos
642,52,[],False,5342,There has never been a better time to be some kind of weird fucking grifter,@pixelatedboat
14707,63,[],False,30869,"*event happens* but how does this affect Me, the Protagonist of Reality",@thefurlinator
22,,[],False,182,Half of our country has brain worms,@weinerdog4life
1544,286,[],False,6244,brainfart.mp4,@bad_takes
38021,423,[],False,117980,"[Dentist waiting room]

Me: [chanting] teeth, teeth-

Other patients: teeth, TEETH

Secretary: [pounding her clipboard] TEETH, TEETH, TEETH!",@LeBearGirdle
56,,[],False,349,My new song “Butthole of the Tiger” is gross and not good,@weinerdog4life
117,,[],False,522,,@weinerdog4life
52,,[],False,253,"[sounds of vibrator in the background]
Me: honey? Linda... you still scrapbooking ?",@strippercans
47,,[],False,227,Going forward marriage will be called merging and you will absorb the other person to become one large meaty orb,@weinerdog4life
2499,51,[],False,10950,Basketball would be more exciting if each team had 1 sword,@weinerdog4life
8070,86,[],False,17463,"science defines a baby as ""a small smooth poopy man, no taller than a lamp""",@Fred_Delicious
7,,[],False,100,Ted Cruz is melting,@weinerdog4life
15,,[],https://pbs.twimg.com/media/DmwuvhEU0AAyJRx.jpg,62,,@weinerdog4life
31,,[],False,254,Currently mad at my wife for not being a lizard,@weinerdog4life
14605,179,[],False,28258,Enough golf. Time to terrify some kids,@WritePlay
10889,160,[],False,48607,gonorrhea would’ve been a good name for a diarrhea medicine.,@tigersgoroooar
71,,[],False,406,"Can we stop pretending our fore fathers were geniuses, they didn’t even have ipads",@weinerdog4life
33,,[],False,196,Music Hack: if you play black betty backwards it’s la bamba,@weinerdog4life
43,,[],False,409,"MSNBC: Immigrant Children 
CNN: Immigrant Children 
FOX NEWS: Lynryd Skynyrd concert?

This isn’t even a joke",@weinerdog4life
38,,[],False,289,Tomorrow is National Spit on Corey Lewandowski Day!,@weinerdog4life
4444,73,[],False,19126,"Idk, just seems like Obama had fewer concentration camps for children",@Fred_Delicious
