sentence,class
Zoomlion confirms offer for U.S crane maker Terex  ,0
"me: [googling] lose weight

google: eat healthy and exercise

me: [googling again] lose weight NO salad NO running",1
The first human sacrifice of summer solstice always makes me feel so pretty.,1
"China stocks slump 7 percent, triggering circuit breaker  ",0
It Is Never Too Late To Learn,0
"Dear IRS, please cancel my subscription.",1
"There are six black , fleshy filaments , the first pair near the head , the second on the thorax , and the third at the end of the abdomen.",0
There was a strike at work today! But then that's not unusual when you work in a bowling alley.,1
I'm giving away my roof for free It's on the house!,1
Hmmmm I’m worried about u guys,1
Why has the pope never won a gold medal?  Because he always came in a little behind.,1
Statistics show that teen pregnancy rapidly drop after the age of 19.,1
Myanmar army chief pushes against quick changes to constitution ,0
*Send foods,1
Don DeLillo is an Italian-American author whose work paints a detailed portrait of American life in the late 20th and early 21st centuries.,0
"As leaders gather, Oxfam suggests global inequality is at levels not seen in over a century:  ",0
"<)   )╯
 /    \
Don't you wish your girlfriend

\
 (   (>
 /    \
had teeth like me?

  
<)   )>
 /    \
Denture?",1
Why don't Mexicans barbeque?  Because the beans slip through the grill,1
Ugandan opposition leader says vote will not be free or fair ,0
Pakistan hangs man who killed governor over call to reform blasphemy law:  ,0
"How many psychologists does it take to change a lightbulb? One, but that lightbulb has to want to change.",1
The End Crowns The Work,0
"waiter: how's everything so far

me: what do you mean

waiter: i... just want to know how things are so far

me: they're not ""so far."" we're right in front of you. whats your deal

waiter: bro i just did shrooms",1
"Guys the  emoji is so good, it shows so much yet so little emotion 

Her: I’m breaking up with you 

Me: 

Mom: you’re adopted 

Me: 

Verizon: you are out of data, please upgrade to unlimited or wait until the next data cycle 

Me: ",1
U.N. war crimes investigators gathering testimony from starving Syrian town ,0
Syrian govt. accepts halt to 'combat operations' in line with U.S.-Russian plan ,0
The head of Ornitholestes was relatively small.,0
"Selfie Sunday!

Post a selfie/pet pic/something you love.
This weekend was both super slow and went by way too fast. I don't know what I actually got done, but I'm sure I did something But I am going to game night this week

What are your plans for the week?
Happy Sunday!",1
"In the U.S. , the set includes the standard edition 's 12 tracks , with three all new tracks - the lead U.S. number-one single `` Take a Bow '' , a remix of `` If I Never See Your Face Again '' with Maroon 5 , and the U.S. number-one single `` Disturbia . ''",0
EPA says it acted too slowly on Flint water crisis:  ,0
"Elections take place every three years , with one-third of the judges retiring each time , in order to ensure continuity within the court.",0
A Great Ship Asks Deep Waters,0
Not every conjecture ends up being proven true or false.,0
"Look, if I offer you a bite of my calamari, you're bound to offer me a bite of your food. Legally, it's known as Squid Pro Quo.",1
huh. Not having a personality is a personality trait. who knew,1
"The noxious animals may display by slow flying , and in general are prominently visible.",0
"My family's new television has parental control.

I'm gonna use it to get my mom to make me a sandwich.",1
"When Dad died I vowed not to follow in his footsteps, I'd take a different path. In fact I'd avoid minefields altogether.",1
"The meaning of the name is Live , or Lieb for life or loveley , and - werde from werda means island , high place in a wather.",0
 Bank of England policymakers vote 8-1 to hold rates at 0.5 percent,0
"In 1932 , her mother died from a heart attack.",0
New York Stock Exchange owner ICE may gatecrash Deutsche Boerse-LSE merger:  ,0
The hardest thing about days when I exercise is finding the time to eat one thousand reward Oreos.,1
"With eye on Britain's top job, Boris Johnson keeps Cameron guessing over EU deal:  ",0
Obama unveils wage insurance plan to spur job seekers ,0
